,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,short,right,short,True,1380.0,broken,N,1169.0,11844.0,113522.0,11844.0
1,right,short,right,short,True,600.0,correct,N,774.0,113522.0,126137.0,113522.0
2,left,long,left,long,True,1740.0,correct,N,833.0,126137.0,136697.0,126137.0
3,left,long,left,long,True,1620.0,correct,N,952.0,136697.0,147230.0,136697.0
4,right,short,right,short,True,1050.0,correct,N,677.0,147230.0,162676.0,147230.0
5,left,long,left,long,True,1740.0,correct,N,860.0,162676.0,179761.0,162676.0
6,,,right,short,False,1050.0,broken,N,,179761.0,203170.0,179761.0
7,left,long,left,long,True,1620.0,correct,N,770.0,203170.0,214281.0,203170.0
8,,,right,short,False,1380.0,broken,N,,214281.0,242568.0,214281.0
9,,,right,short,False,600.0,broken,N,,242568.0,264164.0,242568.0
10,left,long,right,short,True,1260.0,incorrect,N,792.0,264164.0,284754.0,264164.0
11,,,right,short,False,1050.0,broken,N,,284754.0,306097.0,284754.0
12,left,long,left,long,True,1740.0,correct,N,1021.0,306097.0,331792.0,306097.0
13,,,right,short,False,1260.0,broken,N,,331792.0,376321.0,331792.0
14,left,long,left,long,True,1620.0,correct,N,711.0,376321.0,386409.0,376321.0
15,right,short,right,short,True,1380.0,correct,N,581.0,386409.0,414820.0,386409.0
16,right,short,left,long,True,1620.0,incorrect,N,809.0,414820.0,436591.0,414820.0
17,left,long,left,long,True,2400.0,correct,N,793.0,436591.0,447495.0,436591.0
18,right,short,right,short,True,600.0,broken,N,742.0,447495.0,471419.0,447495.0
19,,,right,short,False,1050.0,broken,N,,471419.0,492815.0,471419.0
20,right,short,right,short,True,1260.0,broken,N,996.0,492815.0,504398.0,492815.0
21,,,left,long,False,1620.0,broken,N,,504398.0,524644.0,504398.0
22,left,long,left,long,True,2400.0,correct,N,788.0,524644.0,535138.0,524644.0
23,right,short,right,short,True,1380.0,broken,N,691.0,535138.0,572261.0,535138.0
24,,,left,long,False,1950.0,broken,N,,572261.0,592658.0,572261.0
25,right,short,left,long,True,1620.0,incorrect,N,928.0,592658.0,613041.0,592658.0
26,right,short,left,long,True,1740.0,incorrect,N,653.0,613041.0,633235.0,613041.0
27,left,long,left,long,True,1740.0,broken,N,849.0,633235.0,655143.0,633235.0
28,right,short,left,long,True,1620.0,incorrect,N,886.0,655143.0,675585.0,655143.0
29,left,long,left,long,True,1740.0,correct,N,699.0,675585.0,685702.0,675585.0
30,right,short,right,short,True,1260.0,correct,N,987.0,685702.0,715736.0,685702.0
31,right,short,right,short,True,1050.0,correct,N,724.0,715736.0,730799.0,715736.0
32,left,long,left,long,True,2400.0,broken,N,844.0,730799.0,743344.0,730799.0
33,right,short,right,short,True,1260.0,correct,N,771.0,743344.0,753110.0,743344.0
34,,,right,short,False,600.0,broken,N,,753110.0,778004.0,753110.0
35,right,short,left,long,True,1620.0,incorrect,N,837.0,778004.0,798173.0,778004.0
36,,,right,short,False,1260.0,broken,N,,798173.0,818123.0,798173.0
37,left,long,left,long,True,1950.0,correct,N,823.0,818123.0,829578.0,818123.0
38,left,long,left,long,True,2400.0,correct,N,744.0,829578.0,853929.0,829578.0
39,left,long,left,long,True,1620.0,broken,N,1055.0,853929.0,867383.0,853929.0
40,,,right,short,False,1050.0,broken,N,,867383.0,886782.0,867383.0
41,right,short,right,short,True,1380.0,correct,N,751.0,886782.0,918918.0,886782.0
42,right,short,right,short,True,1380.0,correct,N,731.0,918918.0,937426.0,918918.0
43,right,short,right,short,True,600.0,correct,N,773.0,937426.0,950953.0,937426.0
44,right,short,right,short,True,1260.0,correct,N,654.0,950953.0,965093.0,950953.0
45,right,short,right,short,True,1260.0,correct,N,770.0,965093.0,979085.0,965093.0
46,left,long,right,short,True,1050.0,incorrect,N,890.0,979085.0,1006871.0,979085.0
47,left,long,left,long,True,2400.0,correct,N,918.0,1006871.0,1017671.0,1006871.0
48,right,short,right,short,True,1260.0,correct,N,714.0,1017671.0,1033252.0,1017671.0
49,right,short,right,short,True,1380.0,correct,N,738.0,1033252.0,1060813.0,1033252.0
50,right,short,right,short,True,1260.0,correct,N,710.0,1060813.0,1074959.0,1060813.0
51,right,short,right,short,True,1260.0,correct,N,650.0,1074959.0,1090940.0,1074959.0
52,right,short,right,short,True,1050.0,correct,N,793.0,1090940.0,1103987.0,1090940.0
53,left,long,left,long,True,1740.0,correct,N,1016.0,1103987.0,1115236.0,1103987.0
54,right,short,right,short,True,1260.0,correct,N,4778.0,1115236.0,1127530.0,1115236.0
55,,,left,long,False,2400.0,broken,N,,1127530.0,1157561.0,1127530.0
56,right,short,right,short,True,1380.0,correct,N,725.0,1157561.0,1168420.0,1157561.0
57,left,long,left,long,True,1950.0,broken,N,879.0,1168420.0,1182393.0,1168420.0
58,left,long,left,long,True,1950.0,broken,N,1005.0,1182393.0,1195664.0,1182393.0
59,left,long,left,long,True,1620.0,broken,N,1056.0,1195664.0,1206504.0,1195664.0
60,right,short,right,short,True,1260.0,correct,N,913.0,1206504.0,1221556.0,1206504.0
61,left,long,left,long,True,2400.0,correct,N,786.0,1221556.0,1249110.0,1221556.0
62,left,long,left,long,True,1950.0,correct,N,810.0,1249110.0,1261256.0,1249110.0
63,left,long,left,long,True,1620.0,broken,N,1025.0,1261256.0,1276869.0,1261256.0
64,right,short,right,short,True,1260.0,correct,N,1436.0,1276869.0,1287476.0,1276869.0
65,right,short,right,short,True,1260.0,correct,N,786.0,1287476.0,1310665.0,1287476.0
66,right,long,left,short,True,1050.0,incorrect,S,803.0,1310665.0,1334190.0,1310665.0
67,right,long,right,long,True,1740.0,correct,S,631.0,1334190.0,1344989.0,1334190.0
68,right,long,right,long,True,1950.0,correct,S,731.0,1344989.0,1361937.0,1344989.0
69,right,long,right,long,True,1950.0,correct,S,750.0,1361937.0,1374069.0,1361937.0
70,left,short,left,short,True,1380.0,correct,S,854.0,1374069.0,1386728.0,1374069.0
71,right,long,right,long,True,1620.0,correct,S,730.0,1386728.0,1405953.0,1386728.0
72,,,right,long,False,1620.0,broken,S,,1405953.0,1428302.0,1405953.0
73,right,long,left,short,True,1380.0,incorrect,S,700.0,1428302.0,1448739.0,1428302.0
74,right,long,right,long,True,1740.0,broken,S,695.0,1448739.0,1459378.0,1448739.0
