,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,left,long,right,short,True,1380.0,incorrect,N,979.0,6268.0,57777.0,6268.0
1,right,short,right,short,True,600.0,correct,N,1169.0,57777.0,77796.0,57777.0
2,left,long,right,short,True,1260.0,incorrect,N,982.0,77796.0,96903.0,77796.0
3,left,long,left,long,True,1620.0,correct,N,840.0,96903.0,109018.0,96903.0
4,right,short,right,short,True,1380.0,correct,N,790.0,109018.0,120548.0,109018.0
5,left,long,right,short,True,1260.0,incorrect,N,796.0,120548.0,140764.0,120548.0
6,right,short,right,short,True,1380.0,broken,N,593.0,140764.0,161800.0,140764.0
7,right,short,right,short,True,1260.0,correct,N,962.0,161800.0,174160.0,161800.0
8,,,left,long,False,2400.0,broken,N,,174160.0,203507.0,174160.0
9,right,short,left,long,True,1740.0,incorrect,N,859.0,203507.0,244973.0,203507.0
10,left,long,left,long,True,1950.0,broken,N,857.0,244973.0,255097.0,244973.0
11,left,long,right,short,True,1260.0,incorrect,N,883.0,255097.0,275996.0,255097.0
12,,,right,short,False,1050.0,broken,N,,275996.0,295407.0,275996.0
13,left,long,left,long,True,1620.0,correct,N,1085.0,295407.0,307593.0,295407.0
14,right,short,left,long,True,1620.0,incorrect,N,1195.0,307593.0,341767.0,307593.0
15,right,short,right,short,True,1380.0,correct,N,1218.0,341767.0,352669.0,341767.0
16,left,long,left,long,True,1740.0,correct,N,857.0,352669.0,366189.0,352669.0
17,right,short,left,long,True,1740.0,incorrect,N,860.0,366189.0,390286.0,366189.0
18,,,left,long,False,1740.0,broken,N,,390286.0,410256.0,390286.0
19,left,long,left,long,True,1620.0,correct,N,980.0,410256.0,421916.0,410256.0
20,,,left,long,False,1620.0,broken,N,,421916.0,446031.0,421916.0
21,left,long,left,long,True,2400.0,broken,N,848.0,446031.0,458783.0,446031.0
22,right,short,right,short,True,600.0,broken,N,1041.0,458783.0,470733.0,458783.0
23,right,short,right,short,True,1260.0,correct,N,936.0,470733.0,480296.0,470733.0
24,left,long,left,long,True,1740.0,broken,N,803.0,480296.0,501459.0,480296.0
25,,,right,short,False,1380.0,broken,N,,501459.0,523313.0,501459.0
26,left,long,left,long,True,2400.0,broken,N,735.0,523313.0,535923.0,523313.0
27,,,left,long,False,1620.0,broken,N,,535923.0,556841.0,535923.0
28,,,left,long,False,2400.0,broken,N,,556841.0,577870.0,556841.0
29,right,short,left,long,True,2400.0,incorrect,N,817.0,577870.0,598441.0,577870.0
30,,,right,short,False,1260.0,broken,N,,598441.0,620531.0,598441.0
31,right,short,right,short,True,1050.0,broken,N,928.0,620531.0,636829.0,620531.0
32,,,right,short,False,1380.0,broken,N,,636829.0,656807.0,636829.0
33,right,short,right,short,True,600.0,correct,N,667.0,656807.0,669253.0,656807.0
34,left,long,left,long,True,2400.0,correct,N,779.0,669253.0,701737.0,669253.0
35,,,left,long,False,1950.0,broken,N,,701737.0,731462.0,701737.0
36,right,short,right,short,True,600.0,correct,N,911.0,731462.0,743797.0,731462.0
37,,,right,short,False,1380.0,broken,N,,743797.0,770756.0,743797.0
38,left,long,left,long,True,1740.0,correct,N,693.0,770756.0,781459.0,770756.0
39,right,short,right,short,True,600.0,correct,N,845.0,781459.0,792309.0,781459.0
40,left,long,left,long,True,1950.0,broken,N,954.0,792309.0,823364.0,792309.0
41,right,short,right,short,True,600.0,broken,N,926.0,823364.0,836685.0,823364.0
42,left,long,left,long,True,2400.0,broken,N,776.0,836685.0,846567.0,836685.0
43,,,left,long,False,1740.0,broken,N,,846567.0,867092.0,846567.0
44,left,long,left,long,True,1740.0,broken,N,782.0,867092.0,878722.0,867092.0
45,left,long,left,long,True,1620.0,correct,N,727.0,878722.0,894910.0,878722.0
46,,,left,long,False,1620.0,broken,N,,894910.0,930992.0,894910.0
47,,,left,long,False,1740.0,broken,N,,930992.0,951867.0,930992.0
48,,,left,long,False,1740.0,broken,N,,951867.0,975194.0,951867.0
49,,,left,long,False,1740.0,broken,N,,975194.0,995991.0,975194.0
50,right,short,left,long,True,1740.0,incorrect,N,802.0,995991.0,1020954.0,995991.0
51,left,long,right,short,True,1050.0,incorrect,N,875.0,1020954.0,1042032.0,1020954.0
52,right,short,right,short,True,600.0,correct,N,1340.0,1042032.0,1051870.0,1042032.0
53,,,left,long,False,2400.0,broken,N,,1051870.0,1083780.0,1051870.0
54,left,long,left,long,True,1620.0,correct,N,980.0,1083780.0,1097096.0,1083780.0
55,right,short,right,short,True,1380.0,correct,N,1331.0,1097096.0,1121481.0,1097096.0
56,right,short,left,long,True,1620.0,incorrect,N,889.0,1121481.0,1151463.0,1121481.0
57,right,short,right,short,True,1050.0,correct,N,1252.0,1151463.0,1163311.0,1151463.0
58,right,short,right,short,True,1050.0,correct,N,1163.0,1163311.0,1196522.0,1163311.0
59,,,left,long,False,2400.0,broken,N,,1196522.0,1221632.0,1196522.0
60,,,right,short,False,600.0,broken,N,,1221632.0,1260011.0,1221632.0
61,right,short,right,short,True,1050.0,broken,N,1131.0,1260011.0,1282965.0,1260011.0
62,left,long,right,short,True,1050.0,incorrect,N,1137.0,1282965.0,1306545.0,1282965.0
63,right,short,right,short,True,1050.0,broken,N,887.0,1306545.0,1329114.0,1306545.0
64,left,long,left,long,True,1950.0,correct,N,981.0,1329114.0,1342669.0,1329114.0
65,right,short,right,short,True,1050.0,correct,N,947.0,1342669.0,1363708.0,1342669.0
66,right,short,right,short,True,1380.0,correct,N,715.0,1363708.0,1378708.0,1363708.0
67,left,long,left,long,True,1620.0,correct,N,849.0,1378708.0,1395013.0,1378708.0
68,left,long,left,long,True,1950.0,correct,N,775.0,1395013.0,1411376.0,1395013.0
69,left,long,right,short,True,1260.0,incorrect,N,1013.0,1411376.0,1438718.0,1411376.0
70,,,left,long,False,1950.0,broken,N,,1438718.0,1458837.0,1438718.0
71,left,long,left,long,True,2400.0,broken,N,795.0,1458837.0,1471741.0,1458837.0
72,right,short,right,short,True,600.0,correct,N,978.0,1471741.0,1483523.0,1471741.0
73,left,long,right,short,True,1380.0,incorrect,N,1188.0,1483523.0,1510031.0,1483523.0
74,left,short,left,short,True,1260.0,correct,S,642.0,1510031.0,1521136.0,1510031.0
75,right,long,left,short,True,600.0,incorrect,S,1410.0,1521136.0,1573341.0,1521136.0
76,left,short,left,short,True,1050.0,correct,S,726.0,1573341.0,1583759.0,1573341.0
77,left,short,left,short,True,600.0,correct,S,819.0,1583759.0,1613606.0,1583759.0
78,left,short,left,short,True,1260.0,correct,S,742.0,1613606.0,1628759.0,1613606.0
79,right,long,right,long,True,2400.0,correct,S,636.0,1628759.0,1642690.0,1628759.0
80,left,short,left,short,True,1050.0,correct,S,999.0,1642690.0,1653516.0,1642690.0
81,left,short,left,short,True,600.0,broken,S,749.0,1653516.0,1666367.0,1653516.0
82,right,long,left,short,True,1260.0,incorrect,S,986.0,1666367.0,1686773.0,1666367.0
83,,,right,long,False,1740.0,broken,S,,1686773.0,1713563.0,1686773.0
84,right,long,right,long,True,1950.0,correct,S,2668.0,1713563.0,1739930.0,1713563.0
85,,,right,long,False,1950.0,broken,S,,1739930.0,1765094.0,1739930.0
86,left,short,left,short,True,1260.0,correct,S,1377.0,1765094.0,1804264.0,1765094.0
87,right,long,left,short,True,600.0,incorrect,S,1600.0,1804264.0,1843218.0,1804264.0
88,left,short,left,short,True,600.0,correct,S,1096.0,1843218.0,1854105.0,1843218.0
89,left,short,right,long,True,1620.0,incorrect,S,2114.0,1854105.0,1900183.0,1854105.0
90,,,left,short,False,1380.0,broken,S,,1900183.0,1921246.0,1900183.0
91,,,right,long,False,1740.0,broken,S,,1921246.0,1944358.0,1921246.0
92,left,short,left,short,True,600.0,correct,S,1186.0,1944358.0,1955542.0,1944358.0
93,left,short,left,short,True,600.0,broken,S,2121.0,1955542.0,1968614.0,1955542.0
94,,,right,long,False,1740.0,broken,S,,1968614.0,1988585.0,1968614.0
95,left,short,right,long,True,1950.0,incorrect,S,940.0,1988585.0,2022461.0,1988585.0
96,right,long,right,long,True,1620.0,correct,S,1406.0,2022461.0,2038860.0,2022461.0
97,right,long,right,long,True,1740.0,correct,S,737.0,2038860.0,2054879.0,2038860.0
98,left,short,left,short,True,600.0,correct,S,762.0,2054879.0,2073325.0,2054879.0
99,right,long,left,short,True,600.0,incorrect,S,1318.0,2073325.0,2103659.0,2073325.0
100,,,left,short,False,1050.0,broken,S,,2103659.0,2124974.0,2103659.0
101,right,long,left,short,True,1260.0,incorrect,S,790.0,2124974.0,2147127.0,2124974.0
102,right,long,right,long,True,1620.0,correct,S,761.0,2147127.0,2158047.0,2147127.0
103,right,long,right,long,True,1620.0,correct,S,923.0,2158047.0,2175027.0,2158047.0
104,left,short,right,long,True,1740.0,incorrect,S,885.0,2175027.0,2202371.0,2175027.0
105,,,left,short,False,1380.0,broken,S,,2202371.0,2227538.0,2202371.0
106,left,short,right,long,True,2400.0,broken,S,1084.0,2227538.0,2251972.0,2227538.0
107,right,long,right,long,True,1740.0,broken,S,848.0,2251972.0,2267636.0,2251972.0
108,,,right,long,False,1620.0,broken,S,,2267636.0,2287398.0,2267636.0
109,right,long,right,long,True,1620.0,correct,S,792.0,2287398.0,2315838.0,2287398.0
110,left,short,left,short,True,1380.0,correct,S,869.0,2315838.0,2341126.0,2315838.0
111,right,long,right,long,True,1950.0,correct,S,763.0,2341126.0,2354963.0,2341126.0
112,right,long,right,long,True,1950.0,correct,S,737.0,2354963.0,2368864.0,2354963.0
113,left,short,right,long,True,1620.0,incorrect,S,787.0,2368864.0,2393896.0,2368864.0
114,left,short,left,short,True,1380.0,correct,S,873.0,2393896.0,2411581.0,2393896.0
115,right,long,right,long,True,1620.0,correct,S,1084.0,2411581.0,2432191.0,2411581.0
116,left,short,left,short,True,1050.0,correct,S,799.0,2432191.0,2449185.0,2432191.0
117,right,long,right,long,True,1950.0,correct,S,644.0,2449185.0,2461232.0,2449185.0
118,left,short,left,short,True,600.0,correct,S,990.0,2461232.0,2473214.0,2461232.0
119,right,long,right,long,True,1740.0,correct,S,678.0,2473214.0,2486079.0,2473214.0
120,,,right,long,False,1740.0,broken,S,,2486079.0,2508025.0,2486079.0
121,left,short,left,short,True,600.0,broken,S,810.0,2508025.0,2520794.0,2508025.0
122,left,short,left,short,True,600.0,broken,S,1135.0,2520794.0,2530536.0,2520794.0
123,left,short,right,long,True,1620.0,incorrect,S,942.0,2530536.0,2550502.0,2530536.0
124,left,short,left,short,True,1260.0,correct,S,1185.0,2550502.0,2566462.0,2550502.0
125,left,short,left,short,True,1380.0,correct,S,934.0,2566462.0,2589296.0,2566462.0
126,left,short,left,short,True,600.0,correct,S,1608.0,2589296.0,2612928.0,2589296.0
127,right,long,right,long,True,1740.0,correct,S,822.0,2612928.0,2625399.0,2612928.0
128,right,long,right,long,True,1620.0,correct,S,652.0,2625399.0,2636936.0,2625399.0
129,right,long,right,long,True,2400.0,correct,S,770.0,2636936.0,2649063.0,2636936.0
130,right,long,right,long,True,2400.0,correct,S,741.0,2649063.0,2662114.0,2649063.0
131,left,short,left,short,True,1260.0,correct,S,746.0,2662114.0,2692226.0,2662114.0
132,left,short,left,short,True,600.0,correct,S,2957.0,2692226.0,2705986.0,2692226.0
