,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,long,right,long,True,1740.0,correct,S,944.0,34437.0,44954.0,34437.0
1,left,short,left,short,True,1260.0,correct,S,751.0,44954.0,60843.0,44954.0
2,right,long,left,short,True,1380.0,incorrect,S,662.0,60843.0,83873.0,60843.0
3,right,long,left,short,True,1260.0,broken,S,616.0,83873.0,104206.0,83873.0
4,right,long,right,long,True,1950.0,correct,S,1462.0,104206.0,122575.0,104206.0
5,right,long,left,short,True,1050.0,incorrect,S,828.0,122575.0,155716.0,122575.0
6,right,long,right,long,True,2400.0,correct,S,926.0,155716.0,166170.0,155716.0
7,right,long,left,short,True,1380.0,incorrect,S,763.0,166170.0,196892.0,166170.0
8,right,long,right,long,True,2400.0,correct,S,720.0,196892.0,208594.0,196892.0
9,right,long,left,short,True,1260.0,incorrect,S,660.0,208594.0,236095.0,208594.0
10,left,short,left,short,True,1050.0,correct,S,1111.0,236095.0,254742.0,236095.0
11,right,long,right,long,True,1950.0,correct,S,726.0,254742.0,274664.0,254742.0
12,,,right,long,False,2400.0,broken,S,,274664.0,300160.0,274664.0
13,left,short,left,short,True,1260.0,correct,S,766.0,300160.0,309985.0,300160.0
14,right,long,right,long,True,1620.0,correct,S,715.0,309985.0,324892.0,309985.0
15,right,long,right,long,True,1740.0,correct,S,602.0,324892.0,339431.0,324892.0
16,right,long,right,long,True,2400.0,correct,S,670.0,339431.0,355518.0,339431.0
17,right,long,left,short,True,1260.0,incorrect,S,668.0,355518.0,380144.0,355518.0
18,right,long,left,short,True,1260.0,incorrect,S,888.0,380144.0,400772.0,380144.0
19,,,right,long,False,1950.0,broken,S,,400772.0,420530.0,400772.0
20,right,long,left,short,True,1260.0,incorrect,S,772.0,420530.0,444598.0,420530.0
21,left,short,left,short,True,600.0,correct,S,1182.0,444598.0,458559.0,444598.0
22,right,long,right,long,True,1950.0,correct,S,587.0,458559.0,479315.0,458559.0
23,left,short,left,short,True,1380.0,broken,S,804.0,479315.0,492071.0,479315.0
24,left,short,left,short,True,1260.0,correct,S,942.0,492071.0,502149.0,492071.0
25,right,long,left,short,True,1380.0,incorrect,S,621.0,502149.0,527422.0,502149.0
26,right,long,right,long,True,1620.0,correct,S,726.0,527422.0,537007.0,527422.0
27,left,short,left,short,True,1050.0,correct,S,824.0,537007.0,552366.0,537007.0
28,right,long,left,short,True,1260.0,incorrect,S,652.0,552366.0,575931.0,552366.0
29,right,long,right,long,True,1950.0,correct,S,656.0,575931.0,596463.0,575931.0
