,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,left,short,right,long,True,1950.0,incorrect,S,878.0,14653.0,35482.0,14653.0
1,left,short,left,short,True,1260.0,correct,S,804.0,35482.0,45100.0,35482.0
2,right,long,right,long,True,1950.0,correct,S,698.0,45100.0,57415.0,45100.0
3,right,long,right,long,True,1620.0,correct,S,932.0,57415.0,69192.0,57415.0
4,right,long,right,long,True,1620.0,correct,S,746.0,69192.0,83603.0,69192.0
5,left,short,left,short,True,1260.0,correct,S,812.0,83603.0,100488.0,83603.0
6,right,long,right,long,True,2400.0,correct,S,688.0,100488.0,114792.0,100488.0
7,right,long,right,long,True,2400.0,correct,S,751.0,114792.0,132358.0,114792.0
8,,,left,short,False,1380.0,broken,S,,132358.0,159113.0,132358.0
9,left,short,right,long,True,1620.0,incorrect,S,1426.0,159113.0,185526.0,159113.0
10,left,short,right,long,True,1740.0,incorrect,S,807.0,185526.0,205980.0,185526.0
11,left,short,left,short,True,1050.0,correct,S,1354.0,205980.0,215911.0,205980.0
12,right,long,right,long,True,2400.0,correct,S,697.0,215911.0,237844.0,215911.0
13,left,short,left,short,True,600.0,correct,S,728.0,237844.0,254065.0,237844.0
14,right,long,right,long,True,1740.0,correct,S,642.0,254065.0,270043.0,254065.0
15,right,long,right,long,True,1740.0,broken,S,807.0,270043.0,284771.0,270043.0
16,left,short,left,short,True,600.0,broken,S,772.0,284771.0,305139.0,284771.0
17,,,left,short,False,600.0,broken,S,,305139.0,325890.0,305139.0
18,left,short,right,long,True,2400.0,incorrect,S,635.0,325890.0,348706.0,325890.0
19,,,left,short,False,600.0,broken,S,,348706.0,368324.0,348706.0
20,left,short,left,short,True,1260.0,correct,S,809.0,368324.0,380795.0,368324.0
21,left,short,right,long,True,2400.0,incorrect,S,769.0,380795.0,416151.0,380795.0
22,left,short,left,short,True,1260.0,correct,S,766.0,416151.0,426077.0,416151.0
23,right,long,right,long,True,1620.0,correct,S,598.0,426077.0,444718.0,426077.0
24,left,short,right,long,True,1620.0,incorrect,S,832.0,444718.0,465542.0,444718.0
25,left,short,right,long,True,2400.0,incorrect,S,733.0,465542.0,485249.0,465542.0
26,,,left,short,False,1050.0,broken,S,,485249.0,505140.0,485249.0
27,left,short,right,long,True,1740.0,incorrect,S,926.0,505140.0,529873.0,505140.0
28,left,short,left,short,True,1260.0,correct,S,1110.0,529873.0,539418.0,529873.0
29,right,long,right,long,True,2400.0,correct,S,709.0,539418.0,568989.0,539418.0
30,,,right,long,False,2400.0,broken,S,,568989.0,597314.0,568989.0
31,left,short,left,short,True,1380.0,correct,S,790.0,597314.0,613198.0,597314.0
32,left,short,left,short,True,1380.0,correct,S,938.0,613198.0,641083.0,613198.0
33,left,short,left,short,True,1260.0,correct,S,889.0,641083.0,666046.0,641083.0
34,left,short,left,short,True,600.0,correct,S,854.0,666046.0,683757.0,666046.0
35,left,short,left,short,True,1380.0,correct,S,940.0,683757.0,702606.0,683757.0
36,left,short,left,short,True,1050.0,correct,S,896.0,702606.0,720318.0,702606.0
37,right,long,left,short,True,1380.0,incorrect,S,919.0,720318.0,748169.0,720318.0
38,left,short,right,long,True,1740.0,incorrect,S,678.0,748169.0,791306.0,748169.0
39,left,short,right,long,True,1620.0,incorrect,S,1417.0,791306.0,810939.0,791306.0
40,right,long,right,long,True,2400.0,correct,S,885.0,810939.0,821377.0,810939.0
41,left,short,left,short,True,600.0,broken,S,745.0,821377.0,837885.0,821377.0
42,right,long,right,long,True,1740.0,correct,S,699.0,837885.0,848645.0,837885.0
43,right,long,right,long,True,2400.0,correct,S,752.0,848645.0,861181.0,848645.0
