,t,name,var,value
0,9901.0,TRIAL_AVAILABLE_EVENT,,
1,9902.0,,correct_side,left
2,9902.0,,init_port,N
3,9902.0,,stim_long,True
4,9902.0,,this_interval,1950.0
5,14330.0,TRIAL_ENTRY_EVENT,,
6,14330.0,STIM_ONSET_EVENT,,
7,16280.0,STIM_OFFSET_EVENT,,
8,16280.0,CHOICE_STATE,,
9,17133.0,CHOICE_LEFT_EVENT,,
10,17133.0,CHOICE_LONG_EVENT,,
11,17133.0,CHOICE_EVENT,,
12,17133.0,CHOICE_CORRECT_EVENT,,
13,33434.0,TRIAL_AVAILABLE_EVENT,,
14,33435.0,,init_port,N
15,33435.0,,stim_long,False
16,33435.0,,correct_side,right
17,33435.0,,this_interval,1260.0
18,33875.0,TRIAL_ENTRY_EVENT,,
19,33876.0,STIM_ONSET_EVENT,,
20,35137.0,CHOICE_STATE,,
21,35137.0,STIM_OFFSET_EVENT,,
22,35938.0,CHOICE_CORRECT_EVENT,,
23,35938.0,CHOICE_EVENT,,
24,35938.0,CHOICE_SHORT_EVENT,,
25,35938.0,CHOICE_RIGHT_EVENT,,
26,36739.0,REWARD_EVENT,,
27,42982.0,TRIAL_AVAILABLE_EVENT,,
28,42983.0,,this_interval,1380.0
29,42983.0,,init_port,N
30,42983.0,,stim_long,False
31,42983.0,,correct_side,right
32,53911.0,TRIAL_ENTRY_EVENT,,
33,53912.0,STIM_ONSET_EVENT,,
34,55293.0,CHOICE_STATE,,
35,55293.0,STIM_OFFSET_EVENT,,
36,56228.0,CHOICE_CORRECT_EVENT,,
37,56228.0,CHOICE_SHORT_EVENT,,
38,56228.0,CHOICE_EVENT,,
39,56228.0,CHOICE_RIGHT_EVENT,,
40,57029.0,REWARD_EVENT,,
41,63015.0,TRIAL_AVAILABLE_EVENT,,
42,63016.0,,correct_side,right
43,63016.0,,stim_long,False
44,63016.0,,init_port,N
45,63016.0,,this_interval,1050.0
46,65319.0,TRIAL_ENTRY_EVENT,,
47,65320.0,STIM_ONSET_EVENT,,
48,66371.0,STIM_OFFSET_EVENT,,
49,66371.0,CHOICE_STATE,,
50,67111.0,CHOICE_RIGHT_EVENT,,
51,67111.0,CHOICE_EVENT,,
52,67111.0,CHOICE_SHORT_EVENT,,
53,67111.0,CHOICE_CORRECT_EVENT,,
54,74426.0,TRIAL_AVAILABLE_EVENT,,
55,74427.0,,correct_side,right
56,74427.0,,stim_long,False
57,74427.0,,init_port,N
58,74427.0,,this_interval,1260.0
59,75307.0,TRIAL_ENTRY_EVENT,,
60,75308.0,STIM_ONSET_EVENT,,
61,76569.0,STIM_OFFSET_EVENT,,
62,76569.0,CHOICE_STATE,,
63,77264.0,CHOICE_SHORT_EVENT,,
64,77264.0,CHOICE_RIGHT_EVENT,,
65,77264.0,CHOICE_CORRECT_EVENT,,
66,77264.0,CHOICE_EVENT,,
67,78065.0,REWARD_EVENT,,
68,84412.0,TRIAL_AVAILABLE_EVENT,,
69,84413.0,,init_port,N
70,84413.0,,stim_long,False
71,84413.0,,this_interval,1260.0
72,84413.0,,correct_side,right
73,87974.0,TRIAL_ENTRY_EVENT,,
74,87974.0,STIM_ONSET_EVENT,,
75,89236.0,CHOICE_STATE,,
76,89236.0,STIM_OFFSET_EVENT,,
77,89926.0,CHOICE_SHORT_EVENT,,
78,89926.0,CHOICE_EVENT,,
79,89926.0,CHOICE_RIGHT_EVENT,,
80,89926.0,CHOICE_CORRECT_EVENT,,
81,90727.0,REWARD_EVENT,,
82,97079.0,TRIAL_AVAILABLE_EVENT,,
83,97080.0,,this_interval,1740.0
84,97080.0,,correct_side,left
85,97080.0,,stim_long,True
86,97080.0,,init_port,N
87,102064.0,TRIAL_ENTRY_EVENT,,
88,102065.0,STIM_ONSET_EVENT,,
89,103808.0,STIM_OFFSET_EVENT,,
90,103808.0,CHOICE_STATE,,
91,104560.0,CHOICE_SHORT_EVENT,,
92,104560.0,CHOICE_INCORRECT_EVENT,,
93,104560.0,CHOICE_RIGHT_EVENT,,
94,104560.0,CHOICE_EVENT,,
95,121169.0,TRIAL_AVAILABLE_EVENT,,
96,121170.0,,init_port,N
97,121170.0,,this_interval,1740.0
98,121170.0,,correct_side,left
99,121170.0,,stim_long,True
100,121491.0,TRIAL_ENTRY_EVENT,,
101,121492.0,STIM_ONSET_EVENT,,
102,123233.0,CHOICE_STATE,,
103,123233.0,STIM_OFFSET_EVENT,,
104,123963.0,CHOICE_INCORRECT_EVENT,,
105,123963.0,CHOICE_EVENT,,
106,123963.0,CHOICE_RIGHT_EVENT,,
107,123963.0,CHOICE_SHORT_EVENT,,
108,140598.0,TRIAL_AVAILABLE_EVENT,,
109,140599.0,,stim_long,True
110,140599.0,,init_port,N
111,140599.0,,this_interval,1740.0
112,140599.0,,correct_side,left
113,141742.0,STIM_ONSET_EVENT,,
114,141742.0,TRIAL_ENTRY_EVENT,,
115,143484.0,CHOICE_STATE,,
116,143484.0,STIM_OFFSET_EVENT,,
117,144258.0,CHOICE_EVENT,,
118,144258.0,CHOICE_RIGHT_EVENT,,
119,144258.0,CHOICE_INCORRECT_EVENT,,
120,144258.0,CHOICE_SHORT_EVENT,,
121,160847.0,TRIAL_AVAILABLE_EVENT,,
122,160848.0,,this_interval,1380.0
123,160848.0,,correct_side,right
124,160848.0,,stim_long,False
125,160848.0,,init_port,N
126,162057.0,TRIAL_ENTRY_EVENT,,
127,162058.0,STIM_ONSET_EVENT,,
128,163440.0,STIM_OFFSET_EVENT,,
129,163440.0,CHOICE_STATE,,
130,164114.0,CHOICE_CORRECT_EVENT,,
131,164114.0,CHOICE_SHORT_EVENT,,
132,164114.0,CHOICE_RIGHT_EVENT,,
133,164114.0,CHOICE_EVENT,,
134,164915.0,REWARD_EVENT,,
135,171162.0,TRIAL_AVAILABLE_EVENT,,
136,171163.0,,correct_side,left
137,171163.0,,stim_long,True
138,171163.0,,init_port,N
139,171163.0,,this_interval,1950.0
140,181859.0,TRIAL_ENTRY_EVENT,,
141,181860.0,STIM_ONSET_EVENT,,
