,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,left,long,left,long,True,1950.0,correct,N,853.0,9901.0,33434.0,9901.0
1,right,short,right,short,True,1260.0,correct,N,801.0,33434.0,42982.0,33434.0
2,right,short,right,short,True,1380.0,correct,N,935.0,42982.0,63015.0,42982.0
3,right,short,right,short,True,1050.0,correct,N,740.0,63015.0,74426.0,63015.0
4,right,short,right,short,True,1260.0,correct,N,695.0,74426.0,84412.0,74426.0
5,right,short,right,short,True,1260.0,correct,N,690.0,84412.0,97079.0,84412.0
6,right,short,left,long,True,1740.0,incorrect,N,752.0,97079.0,121169.0,97079.0
7,right,short,left,long,True,1740.0,incorrect,N,730.0,121169.0,140598.0,121169.0
8,right,short,left,long,True,1740.0,incorrect,N,774.0,140598.0,160847.0,140598.0
9,right,short,right,short,True,1380.0,correct,N,674.0,160847.0,171162.0,160847.0
10,right,short,left,long,True,1950.0,incorrect,N,833.0,171162.0,200966.0,171162.0
11,right,short,right,short,True,1050.0,correct,N,547.0,200966.0,212307.0,200966.0
12,left,long,left,long,True,1740.0,correct,N,551.0,212307.0,238925.0,212307.0
13,right,short,right,short,True,1050.0,correct,N,626.0,238925.0,248304.0,238925.0
14,right,short,right,short,True,1050.0,correct,N,600.0,248304.0,267721.0,248304.0
15,left,long,left,long,True,2400.0,correct,N,756.0,267721.0,277960.0,267721.0
16,right,short,left,long,True,1740.0,incorrect,N,640.0,277960.0,298321.0,277960.0
17,left,long,left,long,True,1950.0,correct,N,991.0,298321.0,308516.0,298321.0
18,right,short,right,short,True,1050.0,correct,N,642.0,308516.0,318918.0,308516.0
19,right,short,left,long,True,1620.0,incorrect,N,796.0,318918.0,349374.0,318918.0
20,right,short,right,short,True,1380.0,correct,N,659.0,349374.0,359562.0,349374.0
21,right,short,right,short,True,600.0,correct,N,994.0,359562.0,381686.0,359562.0
22,left,long,left,long,True,2400.0,correct,N,740.0,381686.0,394541.0,381686.0
23,right,short,right,short,True,1260.0,correct,N,635.0,394541.0,403768.0,394541.0
24,right,short,right,short,True,600.0,correct,N,676.0,403768.0,431241.0,403768.0
25,right,short,right,short,True,600.0,correct,N,973.0,431241.0,440938.0,431241.0
26,right,short,right,short,True,1260.0,correct,N,812.0,440938.0,459109.0,440938.0
27,right,short,right,short,True,1380.0,correct,N,735.0,459109.0,471729.0,459109.0
28,right,short,right,short,True,1260.0,correct,N,636.0,471729.0,481820.0,471729.0
29,left,long,left,long,True,2400.0,correct,N,699.0,481820.0,495642.0,481820.0
30,right,short,left,long,True,1620.0,incorrect,N,605.0,495642.0,514817.0,495642.0
31,right,short,left,long,True,1740.0,incorrect,N,1072.0,514817.0,536649.0,514817.0
32,right,short,right,short,True,1050.0,correct,N,709.0,536649.0,546396.0,536649.0
33,right,short,right,short,True,1380.0,correct,N,692.0,546396.0,564757.0,546396.0
34,left,long,left,long,True,1740.0,correct,N,956.0,564757.0,574691.0,564757.0
35,right,short,right,short,True,1260.0,correct,N,698.0,574691.0,584216.0,574691.0
36,left,long,left,long,True,1620.0,correct,N,821.0,584216.0,600263.0,584216.0
37,,,right,short,False,1260.0,,N,,600263.0,619617.0,600263.0
38,right,short,left,long,True,1950.0,incorrect,N,676.0,619617.0,640580.0,619617.0
39,right,short,left,long,True,1740.0,incorrect,N,652.0,640580.0,660760.0,640580.0
40,right,short,left,long,True,1620.0,incorrect,N,675.0,660760.0,681564.0,660760.0
41,right,short,left,long,True,1740.0,incorrect,N,717.0,681564.0,701896.0,681564.0
42,left,long,left,long,True,2400.0,correct,N,813.0,701896.0,714241.0,701896.0
43,right,short,left,long,True,1950.0,incorrect,N,653.0,714241.0,736314.0,714241.0
44,left,long,left,long,True,1620.0,correct,N,1019.0,736314.0,747012.0,736314.0
45,right,short,right,short,True,1380.0,correct,N,677.0,747012.0,761961.0,747012.0
46,right,short,left,long,True,1620.0,incorrect,N,762.0,761961.0,781471.0,761961.0
47,left,long,left,long,True,2400.0,correct,N,768.0,781471.0,791579.0,781471.0
48,left,long,left,long,True,1740.0,correct,N,943.0,791579.0,806001.0,791579.0
49,right,short,right,short,True,1380.0,correct,N,652.0,806001.0,819064.0,806001.0
50,right,long,left,short,True,1380.0,incorrect,S,752.0,819064.0,847116.0,819064.0
51,left,short,left,short,True,1050.0,correct,S,643.0,847116.0,857379.0,847116.0
52,right,long,right,long,True,2400.0,correct,S,655.0,857379.0,871398.0,857379.0
53,left,short,right,long,True,1740.0,incorrect,S,863.0,871398.0,890506.0,871398.0
