,t,name,var,value
0,10756.0,TRIAL_AVAILABLE_EVENT,,
1,10757.0,,correct_side,right
2,10757.0,,this_interval,600.0
3,10757.0,,init_port,N
4,10757.0,,stim_long,False
5,11501.0,STIM_ONSET_EVENT,,
6,11501.0,TRIAL_ENTRY_EVENT,,
7,12103.0,STIM_OFFSET_EVENT,,
8,12103.0,CHOICE_STATE,,
9,13388.0,CHOICE_SHORT_EVENT,,
10,13388.0,CHOICE_EVENT,,
11,13388.0,CHOICE_RIGHT_EVENT,,
12,13388.0,CHOICE_CORRECT_EVENT,,
13,14189.0,REWARD_EVENT,,
14,20605.0,TRIAL_AVAILABLE_EVENT,,
15,20606.0,,init_port,N
16,20606.0,,stim_long,False
17,20606.0,,this_interval,1380.0
18,20606.0,,correct_side,right
19,20638.0,TRIAL_ENTRY_EVENT,,
20,20639.0,STIM_ONSET_EVENT,,
21,22020.0,STIM_OFFSET_EVENT,,
22,22020.0,CHOICE_STATE,,
23,22941.0,CHOICE_RIGHT_EVENT,,
24,22941.0,CHOICE_EVENT,,
25,22941.0,CHOICE_CORRECT_EVENT,,
26,22941.0,CHOICE_SHORT_EVENT,,
27,23741.0,REWARD_EVENT,,
28,29745.0,TRIAL_AVAILABLE_EVENT,,
29,29746.0,,this_interval,1260.0
30,29746.0,,stim_long,False
31,29746.0,,init_port,N
32,29746.0,,correct_side,right
33,35420.0,TRIAL_ENTRY_EVENT,,
34,35421.0,STIM_ONSET_EVENT,,
35,36682.0,STIM_OFFSET_EVENT,,
36,36682.0,CHOICE_STATE,,
37,37596.0,CHOICE_RIGHT_EVENT,,
38,37596.0,CHOICE_EVENT,,
39,37596.0,CHOICE_CORRECT_EVENT,,
40,37596.0,CHOICE_SHORT_EVENT,,
41,44525.0,TRIAL_AVAILABLE_EVENT,,
42,44526.0,TRIAL_ENTRY_EVENT,,
43,44526.0,,correct_side,right
44,44526.0,,stim_long,False
45,44526.0,,this_interval,600.0
46,44526.0,,init_port,N
47,44527.0,STIM_ONSET_EVENT,,
48,45128.0,STIM_OFFSET_EVENT,,
49,45128.0,CHOICE_STATE,,
50,46059.0,CHOICE_CORRECT_EVENT,,
51,46059.0,CHOICE_SHORT_EVENT,,
52,46059.0,CHOICE_RIGHT_EVENT,,
53,46059.0,CHOICE_EVENT,,
54,46860.0,REWARD_EVENT,,
55,53632.0,TRIAL_AVAILABLE_EVENT,,
56,53633.0,,init_port,N
57,53633.0,,this_interval,600.0
58,53633.0,,stim_long,False
59,53633.0,,correct_side,right
60,55220.0,TRIAL_ENTRY_EVENT,,
61,55221.0,STIM_ONSET_EVENT,,
62,55822.0,STIM_OFFSET_EVENT,,
63,55822.0,CHOICE_STATE,,
64,57103.0,CHOICE_EVENT,,
65,57103.0,CHOICE_SHORT_EVENT,,
66,57103.0,CHOICE_CORRECT_EVENT,,
67,57103.0,CHOICE_RIGHT_EVENT,,
68,57904.0,REWARD_EVENT,,
69,64326.0,TRIAL_AVAILABLE_EVENT,,
70,64327.0,,init_port,N
