,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,long,left,short,True,1260.0,incorrect,S,646.0,7766.0,28239.0,7766.0
1,,,left,short,False,1380.0,,S,,28239.0,49979.0,28239.0
2,left,short,right,long,True,1950.0,incorrect,S,664.0,49979.0,71018.0,49979.0
3,left,short,right,long,True,2400.0,incorrect,S,746.0,71018.0,91321.0,71018.0
4,,,right,long,False,1950.0,,S,,91321.0,111188.0,91321.0
5,left,short,left,short,True,600.0,correct,S,1036.0,111188.0,146887.0,111188.0
6,,,right,long,False,2400.0,,S,,146887.0,171139.0,146887.0
7,left,short,right,long,True,1620.0,incorrect,S,966.0,171139.0,199002.0,171139.0
8,left,short,left,short,True,1260.0,correct,S,994.0,199002.0,210224.0,199002.0
9,left,short,left,short,True,600.0,correct,S,1331.0,210224.0,220823.0,210224.0
10,right,long,left,short,True,1260.0,incorrect,S,697.0,220823.0,242386.0,220823.0
11,left,short,right,long,True,1740.0,incorrect,S,908.0,242386.0,262166.0,242386.0
12,left,short,left,short,True,1050.0,correct,S,941.0,262166.0,271272.0,262166.0
13,right,long,right,long,True,2400.0,correct,S,594.0,271272.0,286842.0,271272.0
14,left,short,right,long,True,1620.0,incorrect,S,823.0,286842.0,307351.0,286842.0
15,left,short,left,short,True,600.0,correct,S,1402.0,307351.0,317532.0,307351.0
16,left,short,left,short,True,1050.0,correct,S,831.0,317532.0,342446.0,317532.0
17,left,short,left,short,True,1050.0,correct,S,960.0,342446.0,354599.0,342446.0
18,left,short,left,short,True,600.0,correct,S,849.0,354599.0,366515.0,354599.0
19,right,long,right,long,True,2400.0,correct,S,594.0,366515.0,383817.0,366515.0
20,right,long,left,short,True,1380.0,incorrect,S,1193.0,383817.0,403534.0,383817.0
21,left,short,left,short,True,1260.0,correct,S,688.0,403534.0,414297.0,403534.0
22,left,short,left,short,True,600.0,correct,S,750.0,414297.0,439566.0,414297.0
23,left,short,left,short,True,600.0,correct,S,848.0,439566.0,450172.0,439566.0
24,left,short,left,short,True,1050.0,correct,S,817.0,450172.0,472890.0,450172.0
25,left,short,left,short,True,600.0,correct,S,863.0,472890.0,490005.0,472890.0
26,right,long,right,long,True,1950.0,correct,S,604.0,490005.0,505310.0,490005.0
27,right,long,right,long,True,1950.0,correct,S,710.0,505310.0,514963.0,505310.0
28,left,short,left,short,True,1050.0,correct,S,708.0,514963.0,524328.0,514963.0
29,right,long,right,long,True,2400.0,correct,S,695.0,524328.0,546271.0,524328.0
30,left,short,right,long,True,1740.0,incorrect,S,751.0,546271.0,569194.0,546271.0
31,left,short,left,short,True,1380.0,correct,S,641.0,569194.0,579172.0,569194.0
32,left,short,left,short,True,1380.0,correct,S,1033.0,579172.0,600914.0,579172.0
33,right,long,left,short,True,1380.0,incorrect,S,1042.0,600914.0,623160.0,600914.0
34,left,short,left,short,True,600.0,correct,S,755.0,623160.0,633089.0,623160.0
35,right,long,right,long,True,1950.0,correct,S,716.0,633089.0,646644.0,633089.0
36,left,short,left,short,True,1380.0,correct,S,880.0,646644.0,656107.0,646644.0
37,,,left,short,False,1050.0,,S,,656107.0,681437.0,656107.0
38,left,short,right,long,True,1740.0,incorrect,S,842.0,681437.0,702254.0,681437.0
39,left,short,right,long,True,1620.0,incorrect,S,731.0,702254.0,721360.0,702254.0
40,left,short,right,long,True,1950.0,incorrect,S,938.0,721360.0,741076.0,721360.0
41,left,short,left,short,True,1050.0,correct,S,909.0,741076.0,750489.0,741076.0
42,right,long,right,long,True,1740.0,correct,S,701.0,750489.0,768677.0,750489.0
43,right,long,right,long,True,1740.0,correct,S,750.0,768677.0,778985.0,768677.0
44,left,short,left,short,True,600.0,correct,S,1010.0,778985.0,790208.0,778985.0
45,right,long,right,long,True,1740.0,correct,S,576.0,790208.0,800593.0,790208.0
46,right,long,right,long,True,1740.0,correct,S,705.0,800593.0,811334.0,800593.0
47,right,long,right,long,True,2400.0,correct,S,745.0,811334.0,825555.0,811334.0
48,,,right,long,False,1740.0,,S,,825555.0,844928.0,825555.0
49,,,right,long,False,1950.0,,S,,844928.0,866192.0,844928.0
50,left,short,right,long,True,1620.0,incorrect,S,835.0,866192.0,887667.0,866192.0
51,left,long,left,long,True,1740.0,correct,N,660.0,887667.0,897673.0,887667.0
52,left,long,left,long,True,1950.0,correct,N,1214.0,897673.0,917398.0,897673.0
53,left,long,left,long,True,1950.0,correct,N,694.0,917398.0,933529.0,917398.0
54,left,long,left,long,True,1950.0,correct,N,947.0,933529.0,949898.0,933529.0
55,left,long,right,short,True,1380.0,incorrect,N,869.0,949898.0,973603.0,949898.0
56,left,long,left,long,True,2400.0,correct,N,687.0,973603.0,983478.0,973603.0
57,right,short,right,short,True,600.0,correct,N,735.0,983478.0,997215.0,983478.0
58,right,short,right,short,True,1380.0,correct,N,662.0,997215.0,1009512.0,997215.0
59,right,short,right,short,True,1260.0,correct,N,784.0,1009512.0,1030401.0,1009512.0
60,left,long,left,long,True,1740.0,correct,N,855.0,1030401.0,1047445.0,1030401.0
61,left,long,left,long,True,1740.0,correct,N,933.0,1047445.0,1060172.0,1047445.0
62,left,long,left,long,True,1740.0,correct,N,951.0,1060172.0,1071023.0,1060172.0
63,left,long,left,long,True,2400.0,correct,N,762.0,1071023.0,1086663.0,1071023.0
64,right,short,right,short,True,1380.0,correct,N,830.0,1086663.0,1099423.0,1086663.0
65,right,short,right,short,True,600.0,correct,N,604.0,1099423.0,1115039.0,1099423.0
66,left,long,left,long,True,1620.0,correct,N,1362.0,1115039.0,1125074.0,1115039.0
67,right,short,right,short,True,600.0,correct,N,691.0,1125074.0,1145323.0,1125074.0
68,left,long,left,long,True,1740.0,correct,N,825.0,1145323.0,1155972.0,1145323.0
69,left,long,left,long,True,2400.0,correct,N,811.0,1155972.0,1165629.0,1155972.0
70,left,long,left,long,True,1950.0,correct,N,1161.0,1165629.0,1177507.0,1165629.0
71,right,short,right,short,True,1260.0,correct,N,1407.0,1177507.0,1187272.0,1177507.0
72,right,short,right,short,True,600.0,correct,N,808.0,1187272.0,1207681.0,1187272.0
73,,,right,short,False,1260.0,,N,,1207681.0,1227231.0,1207681.0
74,,,left,long,False,1950.0,,N,,1227231.0,1247316.0,1227231.0
75,,,right,short,False,600.0,,N,,1247316.0,1266721.0,1247316.0
76,right,short,right,short,True,1260.0,correct,N,650.0,1266721.0,1276745.0,1266721.0
77,right,short,right,short,True,1050.0,correct,N,747.0,1276745.0,1286670.0,1276745.0
78,,,left,long,False,1620.0,,N,,1286670.0,1315691.0,1286670.0
79,left,long,right,short,True,1260.0,incorrect,N,944.0,1315691.0,1356809.0,1315691.0
80,,,left,long,False,2400.0,,N,,1356809.0,1408145.0,1356809.0
81,,,right,short,False,1260.0,,N,,1408145.0,1429044.0,1408145.0
82,right,short,right,short,True,1260.0,correct,N,1000.0,1429044.0,1450494.0,1429044.0
83,right,short,right,short,True,1260.0,correct,N,914.0,1450494.0,1462200.0,1450494.0
84,left,long,left,long,True,1620.0,correct,N,731.0,1462200.0,1472652.0,1462200.0
85,left,long,left,long,True,2400.0,correct,N,787.0,1472652.0,1482818.0,1472652.0
86,right,short,left,long,True,1620.0,incorrect,N,1032.0,1482818.0,1505591.0,1482818.0
87,,,right,short,False,1380.0,,N,,1505591.0,1525813.0,1505591.0
