,t,name,var,value
0,7766.0,TRIAL_AVAILABLE_EVENT,,
1,7767.0,,correct_side,left
2,7767.0,,this_interval,1260.0
3,7767.0,,init_port,S
4,7767.0,,stim_long,False
5,9134.0,STIM_ONSET_EVENT,,
6,9134.0,TRIAL_ENTRY_EVENT,,
7,10396.0,CHOICE_STATE,,
8,10396.0,STIM_OFFSET_EVENT,,
9,11042.0,CHOICE_LONG_EVENT,,
10,11042.0,CHOICE_RIGHT_EVENT,,
11,11042.0,CHOICE_INCORRECT_EVENT,,
12,11042.0,CHOICE_EVENT,,
13,28239.0,TRIAL_AVAILABLE_EVENT,,
14,28240.0,,stim_long,False
15,28240.0,,this_interval,1380.0
16,28240.0,,init_port,S
17,28240.0,,correct_side,left
18,30873.0,TRIAL_ENTRY_EVENT,,
19,30874.0,STIM_ONSET_EVENT,,
20,49979.0,TRIAL_AVAILABLE_EVENT,,
21,49980.0,,init_port,S
22,49980.0,,stim_long,True
23,49980.0,,correct_side,right
24,49980.0,,this_interval,1950.0
25,51913.0,TRIAL_ENTRY_EVENT,,
26,51914.0,STIM_ONSET_EVENT,,
27,53864.0,CHOICE_STATE,,
28,53864.0,STIM_OFFSET_EVENT,,
29,54528.0,CHOICE_EVENT,,
30,54528.0,CHOICE_INCORRECT_EVENT,,
31,54528.0,CHOICE_LEFT_EVENT,,
32,54528.0,CHOICE_SHORT_EVENT,,
33,71018.0,TRIAL_AVAILABLE_EVENT,,
34,71019.0,,correct_side,right
35,71019.0,,this_interval,2400.0
36,71019.0,,stim_long,True
37,71019.0,,init_port,S
38,72214.0,TRIAL_ENTRY_EVENT,,
39,72215.0,STIM_ONSET_EVENT,,
40,74616.0,CHOICE_STATE,,
41,74616.0,STIM_OFFSET_EVENT,,
42,75362.0,CHOICE_INCORRECT_EVENT,,
43,75362.0,CHOICE_EVENT,,
44,75362.0,CHOICE_LEFT_EVENT,,
45,75362.0,CHOICE_SHORT_EVENT,,
46,91321.0,TRIAL_AVAILABLE_EVENT,,
47,91322.0,,init_port,S
48,91322.0,,this_interval,1950.0
49,91322.0,,stim_long,True
50,91322.0,,correct_side,right
51,92082.0,TRIAL_ENTRY_EVENT,,
52,92083.0,STIM_ONSET_EVENT,,
53,111188.0,TRIAL_AVAILABLE_EVENT,,
54,111189.0,,correct_side,left
55,111189.0,,stim_long,False
56,111189.0,,init_port,S
57,111189.0,,this_interval,600.0
58,127783.0,STIM_ONSET_EVENT,,
59,127783.0,TRIAL_ENTRY_EVENT,,
60,128384.0,CHOICE_STATE,,
