,t,name,var,value
0,6909.0,TRIAL_AVAILABLE_EVENT,,
1,6910.0,,correct_side,left
2,6910.0,,init_port,N
3,6910.0,,stim_long,True
4,6910.0,,this_interval,1950.0
5,47448.0,TRIAL_ENTRY_EVENT,,
6,47449.0,STIM_ONSET_EVENT,,
7,66553.0,TRIAL_AVAILABLE_EVENT,,
8,66554.0,,this_interval,1260.0
9,66554.0,,stim_long,False
10,66554.0,,correct_side,right
11,66554.0,,init_port,N
12,72861.0,TRIAL_ENTRY_EVENT,,
13,72862.0,STIM_ONSET_EVENT,,
14,74124.0,CHOICE_STATE,,
15,74124.0,STIM_OFFSET_EVENT,,
16,75125.0,CHOICE_EVENT,,
17,75125.0,CHOICE_CORRECT_EVENT,,
18,75125.0,CHOICE_SHORT_EVENT,,
19,75125.0,CHOICE_RIGHT_EVENT,,
20,75925.0,REWARD_EVENT,,
21,81968.0,TRIAL_AVAILABLE_EVENT,,
22,81969.0,,correct_side,right
23,81969.0,,stim_long,False
24,81969.0,,init_port,N
25,81969.0,,this_interval,1380.0
26,93608.0,TRIAL_ENTRY_EVENT,,
27,93609.0,STIM_ONSET_EVENT,,
28,94990.0,STIM_OFFSET_EVENT,,
29,94990.0,CHOICE_STATE,,
30,95997.0,CHOICE_SHORT_EVENT,,
31,95997.0,CHOICE_CORRECT_EVENT,,
32,95997.0,CHOICE_RIGHT_EVENT,,
33,95997.0,CHOICE_EVENT,,
34,96798.0,REWARD_EVENT,,
35,102713.0,TRIAL_AVAILABLE_EVENT,,
36,102714.0,,stim_long,False
37,102714.0,,init_port,N
38,102714.0,,correct_side,right
39,102714.0,,this_interval,1050.0
40,104357.0,STIM_ONSET_EVENT,,
41,104357.0,TRIAL_ENTRY_EVENT,,
42,105409.0,STIM_OFFSET_EVENT,,
43,105409.0,CHOICE_STATE,,
44,106102.0,CHOICE_SHORT_EVENT,,
45,106102.0,CHOICE_CORRECT_EVENT,,
46,106102.0,CHOICE_EVENT,,
47,106102.0,CHOICE_RIGHT_EVENT,,
48,106903.0,REWARD_EVENT,,
49,113462.0,TRIAL_AVAILABLE_EVENT,,
50,113463.0,,correct_side,right
51,113463.0,,stim_long,False
52,113463.0,,init_port,N
53,113463.0,,this_interval,1260.0
54,120311.0,TRIAL_ENTRY_EVENT,,
55,120312.0,STIM_ONSET_EVENT,,
56,121573.0,STIM_OFFSET_EVENT,,
57,121573.0,CHOICE_STATE,,
58,122270.0,CHOICE_EVENT,,
59,122270.0,CHOICE_CORRECT_EVENT,,
60,122270.0,CHOICE_SHORT_EVENT,,
61,122270.0,CHOICE_RIGHT_EVENT,,
62,123071.0,REWARD_EVENT,,
63,129417.0,TRIAL_AVAILABLE_EVENT,,
64,129418.0,,init_port,N
65,129418.0,,stim_long,True
66,129418.0,,this_interval,1950.0
67,129418.0,,correct_side,left
68,137013.0,TRIAL_ENTRY_EVENT,,
69,137014.0,STIM_ONSET_EVENT,,
70,156120.0,TRIAL_AVAILABLE_EVENT,,
71,156121.0,,init_port,N
72,156121.0,,this_interval,2400.0
73,156121.0,,correct_side,left
74,156121.0,,stim_long,True
75,159674.0,STIM_ONSET_EVENT,,
76,159674.0,TRIAL_ENTRY_EVENT,,
77,162076.0,STIM_OFFSET_EVENT,,
78,162076.0,CHOICE_STATE,,
79,163044.0,CHOICE_LONG_EVENT,,
80,163044.0,CHOICE_LEFT_EVENT,,
81,163044.0,CHOICE_EVENT,,
82,163044.0,CHOICE_CORRECT_EVENT,,
83,163845.0,REWARD_EVENT,,
84,168779.0,TRIAL_AVAILABLE_EVENT,,
85,168780.0,,this_interval,1740.0
86,168780.0,,correct_side,left
87,168780.0,,stim_long,True
88,168780.0,,init_port,N
89,170458.0,TRIAL_ENTRY_EVENT,,
90,170459.0,STIM_ONSET_EVENT,,
91,189563.0,TRIAL_AVAILABLE_EVENT,,
92,189564.0,,correct_side,right
93,189564.0,,init_port,N
94,189564.0,,stim_long,False
95,189564.0,,this_interval,1260.0
96,191211.0,TRIAL_ENTRY_EVENT,,
97,191212.0,STIM_ONSET_EVENT,,
98,192473.0,STIM_OFFSET_EVENT,,
99,192473.0,CHOICE_STATE,,
100,193239.0,CHOICE_EVENT,,
101,193239.0,CHOICE_SHORT_EVENT,,
102,193239.0,CHOICE_CORRECT_EVENT,,
103,193239.0,CHOICE_RIGHT_EVENT,,
104,194039.0,REWARD_EVENT,,
105,200315.0,TRIAL_AVAILABLE_EVENT,,
106,200316.0,,correct_side,right
107,200316.0,,this_interval,1050.0
108,200316.0,,init_port,N
109,200316.0,,stim_long,False
110,207922.0,TRIAL_ENTRY_EVENT,,
111,207923.0,STIM_ONSET_EVENT,,
112,208974.0,CHOICE_STATE,,
113,208974.0,STIM_OFFSET_EVENT,,
114,209698.0,CHOICE_RIGHT_EVENT,,
115,209698.0,CHOICE_SHORT_EVENT,,
116,209698.0,CHOICE_EVENT,,
117,209698.0,CHOICE_CORRECT_EVENT,,
118,210499.0,REWARD_EVENT,,
119,217028.0,TRIAL_AVAILABLE_EVENT,,
120,217029.0,,init_port,N
121,217029.0,,this_interval,1950.0
122,217029.0,,correct_side,left
123,217029.0,,stim_long,True
124,221087.0,TRIAL_ENTRY_EVENT,,
125,221088.0,STIM_ONSET_EVENT,,
126,223039.0,STIM_OFFSET_EVENT,,
127,223039.0,CHOICE_STATE,,
