,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,,,left,long,False,1950.0,,N,,6909.0,66553.0,6909.0
1,right,short,right,short,True,1260.0,correct,N,1001.0,66553.0,81968.0,66553.0
2,right,short,right,short,True,1380.0,correct,N,1007.0,81968.0,102713.0,81968.0
3,right,short,right,short,True,1050.0,correct,N,693.0,102713.0,113462.0,102713.0
4,right,short,right,short,True,1260.0,correct,N,697.0,113462.0,129417.0,113462.0
5,,,left,long,False,1950.0,,N,,129417.0,156120.0,129417.0
6,left,long,left,long,True,2400.0,correct,N,968.0,156120.0,168779.0,156120.0
7,,,left,long,False,1740.0,,N,,168779.0,189563.0,168779.0
8,right,short,right,short,True,1260.0,correct,N,766.0,189563.0,200315.0,189563.0
9,right,short,right,short,True,1050.0,correct,N,724.0,200315.0,217028.0,200315.0
10,left,long,left,long,True,1950.0,correct,N,843.0,217028.0,230194.0,217028.0
11,right,short,left,long,True,1950.0,incorrect,N,811.0,230194.0,252401.0,230194.0
12,left,long,left,long,True,1950.0,correct,N,758.0,252401.0,265400.0,252401.0
13,left,long,left,long,True,1950.0,correct,N,1032.0,265400.0,279824.0,265400.0
14,right,short,right,short,True,1050.0,correct,N,799.0,279824.0,291489.0,279824.0
15,left,long,left,long,True,1620.0,correct,N,944.0,291489.0,309289.0,291489.0
16,right,short,right,short,True,1050.0,correct,N,716.0,309289.0,322460.0,309289.0
17,right,short,right,short,True,1260.0,correct,N,737.0,322460.0,337204.0,322460.0
18,,,right,short,False,1260.0,,N,,337204.0,360706.0,337204.0
19,right,short,left,long,True,1740.0,incorrect,N,623.0,360706.0,380505.0,360706.0
20,left,long,left,long,True,1620.0,correct,N,1724.0,380505.0,390925.0,380505.0
21,right,short,left,long,True,1950.0,incorrect,N,831.0,390925.0,426572.0,390925.0
22,right,short,left,long,True,1620.0,incorrect,N,774.0,426572.0,448408.0,426572.0
23,right,short,left,long,True,1950.0,incorrect,N,999.0,448408.0,469389.0,448408.0
24,left,long,left,long,True,2400.0,correct,N,836.0,469389.0,478957.0,469389.0
25,left,long,right,short,True,1380.0,incorrect,N,1125.0,478957.0,512777.0,478957.0
26,right,short,right,short,True,1380.0,correct,N,687.0,512777.0,522200.0,512777.0
27,right,short,left,long,True,1620.0,incorrect,N,657.0,522200.0,556802.0,522200.0
28,,,left,long,False,1950.0,,N,,556802.0,577515.0,556802.0
29,left,long,left,long,True,1620.0,correct,N,827.0,577515.0,589444.0,577515.0
30,left,long,left,long,True,2400.0,correct,N,833.0,589444.0,607985.0,589444.0
31,right,short,left,long,True,2400.0,incorrect,N,677.0,607985.0,631879.0,607985.0
32,right,short,right,short,True,600.0,correct,N,836.0,631879.0,647203.0,631879.0
33,right,short,right,short,True,600.0,correct,N,799.0,647203.0,656395.0,647203.0
34,right,short,right,short,True,600.0,correct,N,1395.0,656395.0,674415.0,656395.0
35,right,short,left,long,True,1620.0,incorrect,N,869.0,674415.0,698274.0,674415.0
36,right,short,right,short,True,1260.0,correct,N,639.0,698274.0,721232.0,698274.0
37,right,short,left,long,True,1620.0,incorrect,N,982.0,721232.0,743634.0,721232.0
38,left,long,left,long,True,1950.0,correct,N,777.0,743634.0,753800.0,743634.0
39,left,long,left,long,True,2400.0,correct,N,789.0,753800.0,767624.0,753800.0
40,right,short,right,short,True,1380.0,correct,N,792.0,767624.0,783288.0,767624.0
41,right,short,right,short,True,600.0,correct,N,1028.0,783288.0,796253.0,783288.0
42,right,short,left,long,True,1620.0,incorrect,N,676.0,796253.0,816757.0,796253.0
43,,,left,long,False,1740.0,,N,,816757.0,836445.0,816757.0
44,right,short,right,short,True,1380.0,correct,N,703.0,836445.0,845551.0,836445.0
45,left,long,left,long,True,1620.0,correct,N,905.0,845551.0,866147.0,845551.0
46,right,short,left,long,True,1740.0,incorrect,N,663.0,866147.0,887781.0,866147.0
47,left,long,left,long,True,2400.0,correct,N,851.0,887781.0,897870.0,887781.0
48,left,long,left,long,True,2400.0,correct,N,844.0,897870.0,916338.0,897870.0
49,right,short,right,short,True,1050.0,correct,N,689.0,916338.0,932837.0,916338.0
50,right,short,right,short,True,1050.0,correct,N,764.0,932837.0,946822.0,932837.0
51,left,long,right,short,True,1380.0,incorrect,N,1010.0,946822.0,967822.0,946822.0
52,left,long,left,long,True,1740.0,correct,N,932.0,967822.0,976930.0,967822.0
53,left,long,left,long,True,1740.0,correct,N,888.0,976930.0,993165.0,976930.0
54,left,long,left,long,True,1620.0,correct,N,856.0,993165.0,1006304.0,993165.0
55,left,short,left,short,True,1380.0,correct,S,667.0,1006304.0,1019262.0,1006304.0
56,right,long,right,long,True,1620.0,correct,S,765.0,1019262.0,1032032.0,1019262.0
57,right,long,right,long,True,1950.0,correct,S,660.0,1032032.0,1042589.0,1032032.0
58,right,long,right,long,True,1620.0,correct,S,732.0,1042589.0,1052236.0,1042589.0
