,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,short,left,long,True,1950.0,incorrect,N,856.0,8076.0,28648.0,8076.0
1,,,left,long,False,1740.0,broken,N,,28648.0,49000.0,28648.0
2,,,left,long,False,2400.0,broken,N,,49000.0,69840.0,49000.0
3,left,long,left,long,True,1950.0,correct,N,982.0,69840.0,83234.0,69840.0
4,right,short,left,long,True,1620.0,incorrect,N,672.0,83234.0,108128.0,83234.0
5,right,short,left,long,True,2400.0,incorrect,N,819.0,108128.0,127502.0,108128.0
6,left,long,left,long,True,1620.0,broken,N,879.0,127502.0,149135.0,127502.0
7,right,short,right,short,True,1260.0,correct,N,553.0,149135.0,160740.0,149135.0
8,left,long,left,long,True,1950.0,correct,N,833.0,160740.0,180447.0,160740.0
9,right,short,right,short,True,1260.0,correct,N,615.0,180447.0,198318.0,180447.0
10,left,long,right,short,True,1260.0,incorrect,N,902.0,198318.0,227178.0,198318.0
11,,,left,long,False,2400.0,broken,N,,227178.0,246286.0,227178.0
12,right,short,right,short,True,600.0,correct,N,671.0,246286.0,261047.0,246286.0
13,,,left,long,False,2400.0,broken,N,,261047.0,285036.0,261047.0
14,right,short,right,short,True,1260.0,broken,N,670.0,285036.0,306675.0,285036.0
15,right,short,right,short,True,1050.0,correct,N,1175.0,306675.0,315782.0,306675.0
16,left,long,left,long,True,1740.0,correct,N,815.0,315782.0,330620.0,315782.0
17,left,long,left,long,True,1950.0,correct,N,978.0,330620.0,342107.0,330620.0
18,right,short,right,short,True,1050.0,correct,N,707.0,342107.0,355123.0,342107.0
19,left,long,left,long,True,2400.0,broken,N,827.0,355123.0,369994.0,355123.0
20,right,short,right,short,True,600.0,correct,N,496.0,369994.0,380238.0,369994.0
21,right,short,right,short,True,1260.0,correct,N,744.0,380238.0,392469.0,380238.0
22,,,right,short,False,1260.0,broken,N,,392469.0,415538.0,392469.0
23,left,long,left,long,True,2400.0,correct,N,924.0,415538.0,425252.0,415538.0
24,right,short,right,short,True,1380.0,broken,N,730.0,425252.0,437741.0,425252.0
25,right,short,left,long,True,1740.0,incorrect,N,814.0,437741.0,457035.0,437741.0
26,right,short,right,short,True,1260.0,correct,N,626.0,457035.0,466479.0,457035.0
27,right,short,right,short,True,1380.0,correct,N,653.0,466479.0,485841.0,466479.0
28,right,short,left,long,True,1950.0,incorrect,N,718.0,485841.0,510648.0,485841.0
29,right,short,left,long,True,1740.0,incorrect,N,796.0,510648.0,531273.0,510648.0
30,right,short,left,long,True,1740.0,incorrect,N,760.0,531273.0,550661.0,531273.0
31,right,short,right,short,True,1260.0,correct,N,833.0,550661.0,560148.0,550661.0
32,right,short,right,short,True,1380.0,correct,N,721.0,560148.0,584082.0,560148.0
33,,,left,long,False,1620.0,broken,N,,584082.0,616748.0,584082.0
34,right,short,left,long,True,1620.0,incorrect,N,843.0,616748.0,637694.0,616748.0
35,right,short,left,long,True,1620.0,incorrect,N,732.0,637694.0,658015.0,637694.0
36,,,right,short,False,1380.0,broken,N,,658015.0,679099.0,658015.0
