,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,long,left,short,True,1050.0,incorrect,S,1007.0,7182.0,533127.0,7182.0
1,right,long,right,long,True,1620.0,correct,S,663.0,533127.0,546857.0,533127.0
2,left,short,left,short,True,1380.0,correct,S,1495.0,546857.0,563486.0,546857.0
3,left,short,right,long,True,2400.0,incorrect,S,1332.0,563486.0,589215.0,563486.0
4,,,right,long,False,2400.0,broken,S,,589215.0,649985.0,589215.0
5,left,short,right,long,True,1620.0,incorrect,S,1176.0,649985.0,672640.0,649985.0
6,right,long,right,long,True,2400.0,correct,S,1110.0,672640.0,684214.0,672640.0
7,right,long,left,short,True,1380.0,incorrect,S,878.0,684214.0,724334.0,684214.0
8,right,long,left,short,True,1260.0,incorrect,S,1192.0,724334.0,746232.0,724334.0
9,left,short,left,short,True,1260.0,correct,S,1511.0,746232.0,762400.0,746232.0
10,right,long,right,long,True,1950.0,correct,S,941.0,762400.0,799689.0,762400.0
11,left,short,right,long,True,1740.0,incorrect,S,740.0,799689.0,825537.0,799689.0
12,,,right,long,False,1620.0,broken,S,,825537.0,844645.0,825537.0
13,left,short,left,short,True,1050.0,broken,S,2091.0,844645.0,856629.0,844645.0
14,,,left,short,False,1050.0,broken,S,,856629.0,876649.0,856629.0
15,left,short,right,long,True,1950.0,incorrect,S,890.0,876649.0,899885.0,876649.0
16,right,long,right,long,True,1620.0,correct,S,781.0,899885.0,913731.0,899885.0
17,left,short,right,long,True,1740.0,incorrect,S,1003.0,913731.0,952422.0,913731.0
18,right,long,right,long,True,2400.0,correct,S,640.0,952422.0,966971.0,952422.0
19,left,short,right,long,True,1950.0,incorrect,S,916.0,966971.0,991037.0,966971.0
20,left,short,left,short,True,600.0,correct,S,1167.0,991037.0,1001451.0,991037.0
21,left,short,left,short,True,600.0,correct,S,1363.0,1001451.0,1022857.0,1001451.0
22,right,long,right,long,True,1740.0,correct,S,880.0,1022857.0,1041409.0,1022857.0
23,right,long,right,long,True,1620.0,correct,S,793.0,1041409.0,1061087.0,1041409.0
24,right,long,right,long,True,1950.0,correct,S,1137.0,1061087.0,1073250.0,1061087.0
25,,,left,short,False,1260.0,broken,S,,1073250.0,1109873.0,1073250.0
26,left,short,right,long,True,1740.0,incorrect,S,2072.0,1109873.0,1131972.0,1109873.0
27,left,short,right,long,True,2400.0,incorrect,S,797.0,1131972.0,1152103.0,1131972.0
28,right,long,left,short,True,1260.0,broken,S,948.0,1152103.0,1173841.0,1152103.0
29,left,short,left,short,True,1380.0,correct,S,973.0,1173841.0,1186118.0,1173841.0
30,left,short,left,short,True,1380.0,correct,S,849.0,1186118.0,1217649.0,1186118.0
31,,,left,short,False,1260.0,broken,S,,1217649.0,1250259.0,1217649.0
32,right,long,right,long,True,1740.0,correct,S,857.0,1250259.0,1260909.0,1250259.0
33,left,short,left,short,True,600.0,correct,S,1112.0,1260909.0,1274870.0,1260909.0
34,left,short,left,short,True,1050.0,correct,S,745.0,1274870.0,1291378.0,1274870.0
35,right,long,right,long,True,2400.0,correct,S,719.0,1291378.0,1306102.0,1291378.0
36,left,short,right,long,True,1620.0,incorrect,S,843.0,1306102.0,1331311.0,1306102.0
37,,,left,short,False,1380.0,broken,S,,1331311.0,1351089.0,1331311.0
38,right,long,right,long,True,1950.0,correct,S,868.0,1351089.0,1366167.0,1351089.0
39,left,short,right,long,True,1950.0,incorrect,S,1003.0,1366167.0,1412241.0,1366167.0
40,left,short,right,long,True,1740.0,incorrect,S,986.0,1412241.0,1433639.0,1412241.0
41,right,long,right,long,True,1740.0,correct,S,635.0,1433639.0,1444832.0,1433639.0
42,,,left,short,False,1050.0,broken,S,,1444832.0,1487175.0,1444832.0
43,right,long,left,short,True,1050.0,incorrect,S,1523.0,1487175.0,1507477.0,1487175.0
44,right,long,left,short,True,1050.0,incorrect,S,880.0,1507477.0,1587465.0,1507477.0
45,right,long,left,short,True,1380.0,incorrect,S,784.0,1587465.0,1611901.0,1587465.0
46,right,long,left,short,True,1260.0,incorrect,S,654.0,1611901.0,1634230.0,1611901.0
47,left,short,right,long,True,1740.0,incorrect,S,970.0,1634230.0,1659015.0,1634230.0
48,left,short,left,short,True,1050.0,correct,S,1164.0,1659015.0,1669712.0,1659015.0
49,right,long,left,short,True,1380.0,incorrect,S,639.0,1669712.0,1712932.0,1669712.0
50,right,long,right,long,True,2400.0,correct,S,712.0,1712932.0,1725080.0,1712932.0
51,,,right,long,False,2400.0,broken,S,,1725080.0,1761415.0,1725080.0
52,left,short,left,short,True,1260.0,correct,S,1085.0,1761415.0,1772067.0,1761415.0
53,left,short,left,short,True,1260.0,correct,S,1056.0,1772067.0,1801096.0,1772067.0
54,right,short,left,long,True,1620.0,incorrect,N,811.0,1801096.0,1823780.0,1801096.0
55,left,long,left,long,True,2400.0,correct,N,826.0,1823780.0,1856822.0,1823780.0
56,left,long,left,long,True,2400.0,broken,N,746.0,1856822.0,1880538.0,1856822.0
57,right,short,left,long,True,1740.0,incorrect,N,952.0,1880538.0,1900831.0,1880538.0
58,left,long,right,short,True,1380.0,incorrect,N,1132.0,1900831.0,1942876.0,1900831.0
59,right,short,left,long,True,1620.0,incorrect,N,798.0,1942876.0,1969876.0,1942876.0
60,left,long,left,long,True,1740.0,correct,N,1280.0,1969876.0,1995072.0,1969876.0
61,,,left,long,False,2400.0,broken,N,,1995072.0,2021853.0,1995072.0
62,right,short,left,long,True,1740.0,incorrect,N,993.0,2021853.0,2060572.0,2021853.0
63,left,long,left,long,True,1950.0,correct,N,766.0,2060572.0,2071321.0,2060572.0
64,left,long,left,long,True,1620.0,correct,N,790.0,2071321.0,2090415.0,2071321.0
65,,,right,short,False,1380.0,broken,N,,2090415.0,2113766.0,2090415.0
66,right,short,left,long,True,1740.0,incorrect,N,718.0,2113766.0,2134207.0,2113766.0
