|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  26 |             |                 | right        | long              | False      |        1620.0 |           | S         |           |  575766.0 |  597585.0 |  575766.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  27 | left        | short           | left         | short             | True       |        1380.0 | correct   | S         |     983.0 |  597585.0 |  614024.0 |  597585.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  28 | left        | short           | left         | short             | True       |         600.0 | correct   | S         |    1040.0 |  614024.0 |  632100.0 |  614024.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  29 | right       | long            | right        | long              | True       |        1620.0 | correct   | S         |    1233.0 |  632100.0 |  649775.0 |  632100.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  30 | left        | short           | left         | short             | True       |        1050.0 | correct   | S         |     854.0 |  649775.0 |  662420.0 |  649775.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  31 | left        | short           | left         | short             | True       |        1050.0 | correct   | S         |     736.0 |  662420.0 |  675446.0 |  662420.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  32 | right       | long            | right        | long              | True       |        2400.0 | correct   | S         |     707.0 |  675446.0 |  689568.0 |  675446.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  33 | left        | short           | right        | long              | True       |        1950.0 | incorrect | S         |     872.0 |  689568.0 |  711009.0 |  689568.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  34 | left        | short           | right        | long              | True       |        1740.0 | incorrect | S         |     717.0 |  711009.0 |  731609.0 |  711009.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  35 | left        | short           | left         | short             | True       |         600.0 | correct   | S         |     957.0 |  731609.0 |  742807.0 |  731609.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  36 | left        | short           | left         | short             | True       |         600.0 | correct   | S         |    1023.0 |  742807.0 |  798656.0 |  742807.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  37 |             |                 | left         | short             | False      |        1260.0 |           | S         |           |  798656.0 |  818054.0 |  798656.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  38 | left        | short           | left         | short             | True       |        1380.0 | correct   | S         |    1372.0 |  818054.0 |  828797.0 |  818054.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  39 |             |                 | right        | long              | False      |        1620.0 |           | S         |           |  828797.0 |  868719.0 |  828797.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  40 | left        | short           | left         | short             | True       |        1380.0 | correct   | S         |     827.0 |  868719.0 |  880948.0 |  868719.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  41 | left        | short           | right        | long              | True       |        1620.0 | incorrect | S         |     728.0 |  880948.0 |  909026.0 |  880948.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  42 | left        | short           | left         | short             | True       |        1260.0 | correct   | S         |     851.0 |  909026.0 |  919036.0 |  909026.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  43 | right       | long            | right        | long              | True       |        1740.0 | correct   | S         |     731.0 |  919036.0 |  944472.0 |  919036.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  44 | left        | short           | left         | short             | True       |        1380.0 | correct   | S         |     815.0 |  944472.0 |  954780.0 |  944472.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  45 | left        | short           | left         | short             | True       |         600.0 | correct   | S         |     957.0 |  954780.0 |  972784.0 |  954780.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  46 | left        | short           | left         | short             | True       |        1050.0 | correct   | S         |     836.0 |  972784.0 |  989620.0 |  972784.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  47 | left        | short           | left         | short             | True       |         600.0 | correct   | S         |    1033.0 |  989620.0 | 1001594.0 |  989620.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  48 | left        | short           | right        | long              | True       |        1950.0 | incorrect | S         |    1011.0 | 1001594.0 | 1025316.0 | 1001594.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  49 | left        | short           | left         | short             | True       |        1050.0 | correct   | S         |     741.0 | 1025316.0 | 1035363.0 | 1025316.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  50 | right       | long            | left         | short             | True       |         600.0 | incorrect | S         |    1333.0 | 1035363.0 | 1067959.0 | 1035363.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  51 | left        | short           | left         | short             | True       |        1050.0 | correct   | S         |    1418.0 | 1067959.0 | 1089483.0 | 1067959.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  52 | right       | long            | right        | long              | True       |        1950.0 | correct   | S         |     675.0 | 1089483.0 | 1102944.0 | 1089483.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  53 | right       | long            | right        | long              | True       |        2400.0 | correct   | S         |     877.0 | 1102944.0 | 1113487.0 | 1102944.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  54 | left        | short           | right        | long              | True       |        1740.0 | incorrect | S         |    1005.0 | 1113487.0 | 1136148.0 | 1113487.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  55 | left        | short           | left         | short             | True       |        1380.0 | correct   | S         |    1425.0 | 1136148.0 | 1159571.0 | 1136148.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  56 | left        | short           | left         | short             | True       |        1260.0 | correct   | S         |    1119.0 | 1159571.0 | 1180244.0 | 1159571.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  57 | right       | long            | left         | short             | True       |        1260.0 | incorrect | S         |    1143.0 | 1180244.0 | 1201779.0 | 1180244.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  58 | left        | short           | left         | short             | True       |        1260.0 | correct   | S         |    1243.0 | 1201779.0 | 1212474.0 | 1201779.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  59 | left        | short           | left         | short             | True       |         600.0 | correct   | S         |     969.0 | 1212474.0 | 1227833.0 | 1212474.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  60 | left        | short           | right        | long              | True       |        1620.0 | incorrect | S         |    1166.0 | 1227833.0 | 1253479.0 | 1227833.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  61 |             |                 | left         | short             | False      |        1260.0 |           | S         |           | 1253479.0 | 1274895.0 | 1253479.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  62 | left        | short           | left         | short             | True       |        1380.0 | correct   | S         |     811.0 | 1274895.0 | 1286695.0 | 1274895.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  63 | left        | long            | left         | long              | True       |        1740.0 | correct   | N         |    1321.0 | 1286695.0 | 1314024.0 | 1286695.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  64 | left        | long            | left         | long              | True       |        2400.0 | correct   | N         |     863.0 | 1314024.0 | 1328100.0 | 1314024.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  65 | right       | short           | right        | short             | True       |        1260.0 | correct   | N         |     578.0 | 1328100.0 | 1344840.0 | 1328100.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  66 | left        | long            | right        | short             | True       |        1050.0 | incorrect | N         |    1336.0 | 1344840.0 | 1366961.0 | 1344840.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  67 | right       | short           | left         | long              | True       |        1620.0 | incorrect | N         |     662.0 | 1366961.0 | 1388691.0 | 1366961.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  68 | right       | short           | right        | short             | True       |        1050.0 | correct   | N         |     890.0 | 1388691.0 | 1408727.0 | 1388691.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  69 | left        | long            | left         | long              | True       |        2400.0 | correct   | N         |     824.0 | 1408727.0 | 1429944.0 | 1408727.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  70 |             |                 | right        | short             | False      |        1260.0 |           | N         |           | 1429944.0 | 1451413.0 | 1429944.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  71 | right       | short           | right        | short             | True       |         600.0 | correct   | N         |     722.0 | 1451413.0 | 1462651.0 | 1451413.0 |
|-----|-------------|-----------------|--------------|-------------------|------------|---------------|-----------|-----------|-----------|-----------|-----------|-----------|
|  72 | left        | long            | left         | long              | True       |        2400.0 | correct   | N         |     798.0 | 1462651.0 | 1474179.0 | 1462651.0 |
