,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,long,left,short,True,1050.0,incorrect,S,1013.0,5533.0,25275.0,5533.0
1,,,left,short,False,1380.0,broken,S,,25275.0,52193.0,25275.0
2,right,long,left,short,True,1260.0,incorrect,S,743.0,52193.0,73917.0,52193.0
3,right,long,left,short,True,1050.0,incorrect,S,1004.0,73917.0,97283.0,73917.0
4,right,long,right,long,True,1950.0,correct,S,793.0,97283.0,109304.0,97283.0
5,,,right,long,False,1620.0,broken,S,,109304.0,147288.0,109304.0
6,right,long,right,long,True,1620.0,correct,S,831.0,147288.0,161854.0,147288.0
7,left,short,left,short,True,1260.0,correct,S,743.0,161854.0,179989.0,161854.0
8,right,long,right,long,True,1740.0,correct,S,908.0,179989.0,200390.0,179989.0
9,left,short,right,long,True,1740.0,incorrect,S,748.0,200390.0,226971.0,200390.0
10,left,short,left,short,True,1380.0,correct,S,1013.0,226971.0,239931.0,226971.0
11,left,short,left,short,True,1260.0,correct,S,878.0,239931.0,276348.0,239931.0
12,right,long,left,short,True,1260.0,incorrect,S,1406.0,276348.0,300754.0,276348.0
13,left,short,left,short,True,1260.0,correct,S,779.0,300754.0,310980.0,300754.0
14,right,long,right,long,True,1950.0,correct,S,941.0,310980.0,338164.0,310980.0
15,,,right,long,False,1740.0,broken,S,,338164.0,362246.0,338164.0
16,left,short,left,short,True,1260.0,correct,S,1930.0,362246.0,372633.0,362246.0
17,,,right,long,False,1620.0,broken,S,,372633.0,400220.0,372633.0
18,right,long,right,long,True,1740.0,correct,S,1222.0,400220.0,416499.0,400220.0
19,left,short,left,short,True,1260.0,correct,S,832.0,416499.0,433362.0,416499.0
20,right,long,right,long,True,1740.0,correct,S,838.0,433362.0,458025.0,433362.0
21,left,short,left,short,True,600.0,broken,S,834.0,458025.0,489512.0,458025.0
22,,,right,long,False,1950.0,broken,S,,489512.0,509342.0,489512.0
23,,,left,short,False,1380.0,broken,S,,509342.0,530176.0,509342.0
24,right,long,left,short,True,1260.0,incorrect,S,942.0,530176.0,552220.0,530176.0
25,right,long,right,long,True,1950.0,broken,S,1169.0,552220.0,574390.0,552220.0
