,t,name,var,value
0,5533.0,TRIAL_AVAILABLE_EVENT,,
1,5534.0,,correct_side,left
2,5534.0,,this_interval,1050.0
3,5534.0,,init_port,S
4,5534.0,,stim_long,False
5,6168.0,TRIAL_ENTRY_EVENT,,
6,6169.0,STIM_ONSET_EVENT,,
7,7220.0,CHOICE_STATE,,
8,7220.0,STIM_OFFSET_EVENT,,
9,8233.0,CHOICE_EVENT,,
10,8233.0,CHOICE_RIGHT_EVENT,,
11,8233.0,CHOICE_LONG_EVENT,,
12,8233.0,CHOICE_INCORRECT_EVENT,,
13,25275.0,TRIAL_AVAILABLE_EVENT,,
14,25276.0,,stim_long,False
15,25276.0,,this_interval,1380.0
16,25276.0,,correct_side,left
17,25276.0,,init_port,S
18,33087.0,TRIAL_ENTRY_EVENT,,
19,33087.0,STIM_ONSET_EVENT,,
20,33557.0,BROKEN_FIXATION_EVENT,,
21,52193.0,TRIAL_AVAILABLE_EVENT,,
22,52194.0,,init_port,S
23,52194.0,,stim_long,False
24,52194.0,,this_interval,1260.0
25,52194.0,,correct_side,left
26,54814.0,STIM_ONSET_EVENT,,
27,54814.0,TRIAL_ENTRY_EVENT,,
28,56076.0,STIM_OFFSET_EVENT,,
29,56076.0,CHOICE_STATE,,
30,56819.0,CHOICE_EVENT,,
31,56819.0,CHOICE_INCORRECT_EVENT,,
32,56819.0,CHOICE_RIGHT_EVENT,,
33,56819.0,CHOICE_LONG_EVENT,,
34,73917.0,TRIAL_AVAILABLE_EVENT,,
35,73918.0,,init_port,S
36,73918.0,,stim_long,False
37,73918.0,,correct_side,left
38,73918.0,,this_interval,1050.0
39,78176.0,TRIAL_ENTRY_EVENT,,
40,78177.0,STIM_ONSET_EVENT,,
41,79228.0,CHOICE_STATE,,
42,79228.0,STIM_OFFSET_EVENT,,
43,80232.0,CHOICE_RIGHT_EVENT,,
44,80232.0,CHOICE_LONG_EVENT,,
45,80232.0,CHOICE_EVENT,,
46,80232.0,CHOICE_INCORRECT_EVENT,,
47,97283.0,TRIAL_AVAILABLE_EVENT,,
48,97284.0,,init_port,S
49,97284.0,,this_interval,1950.0
50,97284.0,,stim_long,True
51,97284.0,,correct_side,right
52,100199.0,STIM_ONSET_EVENT,,
53,100199.0,TRIAL_ENTRY_EVENT,,
54,102149.0,STIM_OFFSET_EVENT,,
55,102149.0,CHOICE_STATE,,
56,102942.0,CHOICE_RIGHT_EVENT,,
57,102942.0,CHOICE_EVENT,,
58,102942.0,CHOICE_CORRECT_EVENT,,
59,102942.0,CHOICE_LONG_EVENT,,
60,103744.0,REWARD_EVENT,,
61,109304.0,TRIAL_AVAILABLE_EVENT,,
62,109305.0,,correct_side,right
63,109305.0,,init_port,S
64,109305.0,,stim_long,True
65,109305.0,,this_interval,1620.0
66,128181.0,TRIAL_ENTRY_EVENT,,
67,128182.0,STIM_ONSET_EVENT,,
68,128313.0,BROKEN_FIXATION_EVENT,,
69,147288.0,TRIAL_AVAILABLE_EVENT,,
70,147289.0,,init_port,S
71,147289.0,,this_interval,1620.0
72,147289.0,,stim_long,True
73,147289.0,,correct_side,right
74,152749.0,TRIAL_ENTRY_EVENT,,
75,152749.0,STIM_ONSET_EVENT,,
76,154371.0,STIM_OFFSET_EVENT,,
77,154371.0,CHOICE_STATE,,
78,155202.0,CHOICE_CORRECT_EVENT,,
79,155202.0,CHOICE_EVENT,,
80,155202.0,CHOICE_LONG_EVENT,,
81,155202.0,CHOICE_RIGHT_EVENT,,
82,156004.0,REWARD_EVENT,,
83,161854.0,TRIAL_AVAILABLE_EVENT,,
84,161855.0,,stim_long,False
85,161855.0,,this_interval,1260.0
86,161855.0,,init_port,S
87,161855.0,,correct_side,left
88,170883.0,TRIAL_ENTRY_EVENT,,
89,170884.0,STIM_ONSET_EVENT,,
90,172145.0,CHOICE_STATE,,
91,172145.0,STIM_OFFSET_EVENT,,
92,172888.0,CHOICE_EVENT,,
93,172888.0,CHOICE_LEFT_EVENT,,
94,172888.0,CHOICE_CORRECT_EVENT,,
95,172888.0,CHOICE_SHORT_EVENT,,
96,173689.0,REWARD_EVENT,,
97,179989.0,TRIAL_AVAILABLE_EVENT,,
98,179990.0,,correct_side,right
99,179990.0,,this_interval,1740.0
100,179990.0,,init_port,S
101,179990.0,,stim_long,True
102,191285.0,TRIAL_ENTRY_EVENT,,
103,191286.0,STIM_ONSET_EVENT,,
104,193027.0,CHOICE_STATE,,
105,193027.0,STIM_OFFSET_EVENT,,
106,193935.0,CHOICE_CORRECT_EVENT,,
107,193935.0,CHOICE_LONG_EVENT,,
108,193935.0,CHOICE_EVENT,,
109,193935.0,CHOICE_RIGHT_EVENT,,
110,194736.0,REWARD_EVENT,,
111,200390.0,TRIAL_AVAILABLE_EVENT,,
112,200391.0,,stim_long,True
113,200391.0,,init_port,S
114,200391.0,,this_interval,1740.0
115,200391.0,,correct_side,right
116,207865.0,TRIAL_ENTRY_EVENT,,
117,207866.0,STIM_ONSET_EVENT,,
118,209607.0,CHOICE_STATE,,
119,209607.0,STIM_OFFSET_EVENT,,
120,210355.0,CHOICE_SHORT_EVENT,,
121,210355.0,CHOICE_LEFT_EVENT,,
122,210355.0,CHOICE_INCORRECT_EVENT,,
123,210355.0,CHOICE_EVENT,,
