,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,,,right,short,False,1380.0,,N,,5685.0,28530.0,5685.0
1,left,long,right,short,True,1050.0,incorrect,N,1084.0,28530.0,52097.0,28530.0
2,right,short,right,short,True,600.0,correct,N,941.0,52097.0,63527.0,52097.0
3,,,left,long,False,1620.0,,N,,63527.0,84274.0,63527.0
4,right,short,right,short,True,600.0,correct,N,906.0,84274.0,95480.0,84274.0
5,left,long,left,long,True,2400.0,correct,N,768.0,95480.0,120597.0,95480.0
6,left,long,left,long,True,2400.0,correct,N,977.0,120597.0,140833.0,120597.0
7,right,short,right,short,True,1380.0,correct,N,1101.0,140833.0,175250.0,140833.0
8,,,left,long,False,1740.0,,N,,175250.0,195929.0,175250.0
9,left,long,left,long,True,1740.0,correct,N,1883.0,195929.0,207228.0,195929.0
10,right,short,left,long,True,1620.0,incorrect,N,616.0,207228.0,247989.0,207228.0
11,,,left,long,False,1740.0,,N,,247989.0,268607.0,247989.0
12,left,long,right,short,True,1380.0,incorrect,N,954.0,268607.0,291423.0,268607.0
13,left,long,left,long,True,1950.0,correct,N,1127.0,291423.0,301407.0,291423.0
14,right,short,right,short,True,1050.0,correct,N,1098.0,301407.0,326738.0,301407.0
15,left,long,right,short,True,1380.0,incorrect,N,943.0,326738.0,360590.0,326738.0
16,right,short,left,long,True,1620.0,incorrect,N,789.0,360590.0,381102.0,360590.0
17,right,short,right,short,True,1260.0,correct,N,731.0,381102.0,391513.0,381102.0
18,left,long,right,short,True,1260.0,incorrect,N,916.0,391513.0,439795.0,391513.0
19,right,short,right,short,True,600.0,correct,N,705.0,439795.0,461221.0,439795.0
20,left,long,right,short,True,1380.0,incorrect,N,1030.0,461221.0,488767.0,461221.0
21,,,left,long,False,1620.0,,N,,488767.0,510223.0,488767.0
22,right,short,left,long,True,1620.0,incorrect,N,825.0,510223.0,537286.0,510223.0
23,right,short,right,short,True,600.0,correct,N,1327.0,537286.0,548663.0,537286.0
24,left,long,left,long,True,1620.0,correct,N,1025.0,548663.0,599653.0,548663.0
25,right,short,left,long,True,1950.0,incorrect,N,888.0,599653.0,630763.0,599653.0
26,left,long,left,long,True,1740.0,correct,N,897.0,630763.0,642919.0,630763.0
27,left,long,left,long,True,1740.0,correct,N,1080.0,642919.0,665554.0,642919.0
28,right,short,right,short,True,1260.0,correct,N,654.0,665554.0,685957.0,665554.0
29,left,long,left,long,True,1740.0,correct,N,861.0,685957.0,717478.0,685957.0
30,,,left,long,False,1740.0,,N,,717478.0,747671.0,717478.0
31,left,long,left,long,True,1950.0,correct,N,890.0,747671.0,769539.0,747671.0
32,right,short,right,short,True,1380.0,correct,N,699.0,769539.0,787937.0,769539.0
33,,,left,long,False,1620.0,,N,,787937.0,817383.0,787937.0
34,left,long,left,long,True,1620.0,correct,N,970.0,817383.0,828941.0,817383.0
35,,,left,long,False,1740.0,,N,,828941.0,850348.0,828941.0
36,,,right,short,False,1380.0,,N,,850348.0,871057.0,850348.0
37,left,long,left,long,True,1620.0,correct,N,871.0,871057.0,884004.0,871057.0
38,left,long,left,long,True,1620.0,correct,N,942.0,884004.0,910771.0,884004.0
39,right,short,right,short,True,1380.0,correct,N,712.0,910771.0,932615.0,910771.0
40,right,short,left,long,True,1740.0,incorrect,N,1572.0,932615.0,957768.0,932615.0
41,left,long,left,long,True,1620.0,correct,N,860.0,957768.0,979543.0,957768.0
42,right,short,left,long,True,1740.0,incorrect,N,1582.0,979543.0,1000617.0,979543.0
43,left,long,left,long,True,1740.0,correct,N,1028.0,1000617.0,1011307.0,1000617.0
44,right,short,right,short,True,1380.0,correct,N,754.0,1011307.0,1040173.0,1011307.0
45,left,long,left,long,True,1740.0,correct,N,865.0,1040173.0,1062773.0,1040173.0
46,left,long,right,short,True,1380.0,incorrect,N,1375.0,1062773.0,1093144.0,1062773.0
47,right,short,right,short,True,1260.0,correct,N,780.0,1093144.0,1105672.0,1093144.0
48,left,long,right,short,True,1260.0,incorrect,N,949.0,1105672.0,1148258.0,1105672.0
49,left,long,left,long,True,1950.0,correct,N,1034.0,1148258.0,1158197.0,1148258.0
50,right,short,right,short,True,1260.0,correct,N,664.0,1158197.0,1197177.0,1158197.0
51,right,short,right,short,True,1260.0,correct,N,1535.0,1197177.0,1228933.0,1197177.0
52,left,long,left,long,True,1950.0,correct,N,960.0,1228933.0,1245200.0,1228933.0
53,,,right,short,False,1050.0,,N,,1245200.0,1269561.0,1245200.0
54,right,short,left,long,True,1740.0,incorrect,N,1175.0,1269561.0,1291235.0,1269561.0
55,left,long,left,long,True,1950.0,correct,N,997.0,1291235.0,1356379.0,1291235.0
56,right,short,right,short,True,600.0,correct,N,1907.0,1356379.0,1386529.0,1356379.0
57,left,long,left,long,True,1740.0,correct,N,980.0,1386529.0,1412295.0,1386529.0
58,left,long,left,long,True,1950.0,correct,N,994.0,1412295.0,1427209.0,1412295.0
59,left,long,left,long,True,1740.0,correct,N,973.0,1427209.0,1444815.0,1427209.0
60,right,short,left,long,True,1620.0,incorrect,N,919.0,1444815.0,1467415.0,1444815.0
61,right,short,right,short,True,1260.0,correct,N,1845.0,1467415.0,1477072.0,1467415.0
62,,,right,short,False,1380.0,,N,,1477072.0,1497546.0,1477072.0
63,right,short,right,short,True,1260.0,correct,N,1124.0,1497546.0,1525228.0,1497546.0
64,left,long,left,long,True,1950.0,correct,N,1043.0,1525228.0,1549342.0,1525228.0
65,left,short,left,short,True,1380.0,correct,S,913.0,1549342.0,1561570.0,1549342.0
66,left,short,left,short,True,600.0,correct,S,1469.0,1561570.0,1584070.0,1561570.0
67,right,long,right,long,True,1950.0,correct,S,828.0,1584070.0,1594652.0,1584070.0
68,left,short,right,long,True,1740.0,incorrect,S,754.0,1594652.0,1624147.0,1594652.0
