,t,name,var,value
0,5685.0,TRIAL_AVAILABLE_EVENT,,
1,5686.0,,correct_side,right
2,5686.0,,this_interval,1380.0
3,5686.0,,stim_long,False
4,5686.0,,init_port,N
5,9427.0,STIM_ONSET_EVENT,,
6,9427.0,TRIAL_ENTRY_EVENT,,
7,10784.0,BROKEN_FIXATION_EVENT,,
8,28530.0,TRIAL_AVAILABLE_EVENT,,
9,28531.0,,this_interval,1050.0
10,28531.0,,stim_long,False
11,28531.0,,correct_side,right
12,28531.0,,init_port,N
13,32992.0,TRIAL_ENTRY_EVENT,,
14,32992.0,STIM_ONSET_EVENT,,
15,34044.0,STIM_OFFSET_EVENT,,
16,34044.0,CHOICE_STATE,,
17,35128.0,CHOICE_LONG_EVENT,,
18,35128.0,CHOICE_LEFT_EVENT,,
19,35128.0,CHOICE_INCORRECT_EVENT,,
20,35128.0,CHOICE_EVENT,,
21,52097.0,TRIAL_AVAILABLE_EVENT,,
22,52098.0,,correct_side,right
23,52098.0,,stim_long,False
24,52098.0,,this_interval,600.0
25,52098.0,,init_port,N
26,54421.0,TRIAL_ENTRY_EVENT,,
27,54422.0,STIM_ONSET_EVENT,,
28,55023.0,STIM_OFFSET_EVENT,,
29,55023.0,CHOICE_STATE,,
30,55964.0,CHOICE_EVENT,,
31,55964.0,CHOICE_CORRECT_EVENT,,
32,55964.0,CHOICE_SHORT_EVENT,,
33,55964.0,CHOICE_RIGHT_EVENT,,
34,56765.0,REWARD_EVENT,,
35,63527.0,TRIAL_AVAILABLE_EVENT,,
36,63528.0,,this_interval,1620.0
37,63528.0,,init_port,N
38,63528.0,,stim_long,True
39,63528.0,,correct_side,left
40,65168.0,TRIAL_ENTRY_EVENT,,
41,65169.0,STIM_ONSET_EVENT,,
42,65472.0,BROKEN_FIXATION_EVENT,,
43,84274.0,TRIAL_AVAILABLE_EVENT,,
44,84275.0,,stim_long,False
45,84275.0,,init_port,N
46,84275.0,,this_interval,600.0
47,84275.0,,correct_side,right
48,86375.0,STIM_ONSET_EVENT,,
49,86375.0,TRIAL_ENTRY_EVENT,,
50,86977.0,STIM_OFFSET_EVENT,,
51,86977.0,CHOICE_STATE,,
52,87883.0,CHOICE_RIGHT_EVENT,,
53,87883.0,CHOICE_EVENT,,
54,87883.0,CHOICE_CORRECT_EVENT,,
55,87883.0,CHOICE_SHORT_EVENT,,
56,88684.0,REWARD_EVENT,,
57,95480.0,TRIAL_AVAILABLE_EVENT,,
58,95481.0,,stim_long,True
59,95481.0,,init_port,N
60,95481.0,,this_interval,2400.0
61,95481.0,,correct_side,left
62,101492.0,TRIAL_ENTRY_EVENT,,
63,101493.0,STIM_ONSET_EVENT,,
64,103894.0,STIM_OFFSET_EVENT,,
65,103894.0,CHOICE_STATE,,
66,104662.0,CHOICE_LONG_EVENT,,
67,104662.0,CHOICE_EVENT,,
68,104662.0,CHOICE_CORRECT_EVENT,,
69,104662.0,CHOICE_LEFT_EVENT,,
70,104714.0,BROKEN_FIXATION_EVENT,,
71,120597.0,TRIAL_AVAILABLE_EVENT,,
72,120598.0,,stim_long,True
73,120598.0,,this_interval,2400.0
74,120598.0,,init_port,N
75,120598.0,,correct_side,left
76,121728.0,TRIAL_ENTRY_EVENT,,
77,121729.0,STIM_ONSET_EVENT,,
78,124130.0,CHOICE_STATE,,
79,124130.0,STIM_OFFSET_EVENT,,
80,125107.0,CHOICE_EVENT,,
81,125107.0,CHOICE_CORRECT_EVENT,,
82,125107.0,CHOICE_LONG_EVENT,,
83,125107.0,CHOICE_LEFT_EVENT,,
84,125160.0,BROKEN_FIXATION_EVENT,,
85,140833.0,TRIAL_AVAILABLE_EVENT,,
86,140834.0,,this_interval,1380.0
87,140834.0,,stim_long,False
88,140834.0,,correct_side,right
89,140834.0,,init_port,N
90,156143.0,TRIAL_ENTRY_EVENT,,
91,156144.0,STIM_ONSET_EVENT,,
92,157526.0,STIM_OFFSET_EVENT,,
93,157526.0,CHOICE_STATE,,
94,158627.0,CHOICE_RIGHT_EVENT,,
95,158627.0,CHOICE_CORRECT_EVENT,,
96,158627.0,CHOICE_SHORT_EVENT,,
97,158627.0,CHOICE_EVENT,,
98,158700.0,BROKEN_FIXATION_EVENT,,
99,175250.0,TRIAL_AVAILABLE_EVENT,,
100,175251.0,,correct_side,left
101,175251.0,,this_interval,1740.0
102,175251.0,,init_port,N
103,175251.0,,stim_long,True
104,176824.0,STIM_ONSET_EVENT,,
105,176824.0,TRIAL_ENTRY_EVENT,,
106,176932.0,BROKEN_FIXATION_EVENT,,
107,195929.0,TRIAL_AVAILABLE_EVENT,,
108,195930.0,,stim_long,True
109,195930.0,,correct_side,left
110,195930.0,,init_port,N
111,195930.0,,this_interval,1740.0
112,198124.0,STIM_ONSET_EVENT,,
113,198124.0,TRIAL_ENTRY_EVENT,,
114,199866.0,CHOICE_STATE,,
115,199866.0,STIM_OFFSET_EVENT,,
116,201749.0,CHOICE_EVENT,,
117,201749.0,CHOICE_LONG_EVENT,,
118,201749.0,CHOICE_LEFT_EVENT,,
119,201749.0,CHOICE_CORRECT_EVENT,,
120,202551.0,REWARD_EVENT,,
121,207228.0,TRIAL_AVAILABLE_EVENT,,
122,207229.0,,this_interval,1620.0
123,207229.0,,stim_long,True
124,207229.0,,init_port,N
125,207229.0,,correct_side,left
126,228884.0,TRIAL_ENTRY_EVENT,,
127,228884.0,STIM_ONSET_EVENT,,
128,230505.0,STIM_OFFSET_EVENT,,
129,230505.0,CHOICE_STATE,,
130,231121.0,CHOICE_EVENT,,
131,231121.0,CHOICE_RIGHT_EVENT,,
132,231121.0,CHOICE_INCORRECT_EVENT,,
133,231121.0,CHOICE_SHORT_EVENT,,
134,247989.0,TRIAL_AVAILABLE_EVENT,,
135,247990.0,,stim_long,True
136,247990.0,,this_interval,1740.0
137,247990.0,,correct_side,left
138,247990.0,,init_port,N
139,249501.0,TRIAL_ENTRY_EVENT,,
140,249502.0,STIM_ONSET_EVENT,,
