,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,long,left,short,True,1260.0,incorrect,S,990.0,24584.0,57262.0,24584.0
1,,,left,short,False,1380.0,broken,S,,57262.0,76963.0,57262.0
2,right,long,right,long,True,1950.0,correct,S,648.0,76963.0,92815.0,76963.0
3,left,short,left,short,True,600.0,broken,S,764.0,92815.0,112969.0,92815.0
4,left,short,left,short,True,1380.0,correct,S,1015.0,112969.0,125113.0,112969.0
5,left,short,right,long,True,1740.0,incorrect,S,992.0,125113.0,145361.0,125113.0
6,left,short,left,short,True,600.0,correct,S,969.0,145361.0,155295.0,145361.0
7,left,short,right,long,True,1620.0,incorrect,S,659.0,155295.0,193602.0,155295.0
8,left,short,right,long,True,1950.0,incorrect,S,747.0,193602.0,216092.0,193602.0
9,left,short,left,short,True,1380.0,broken,S,689.0,216092.0,237498.0,216092.0
10,,,left,short,False,1380.0,broken,S,,237498.0,261562.0,237498.0
11,,,right,long,False,1620.0,broken,S,,261562.0,282634.0,261562.0
12,left,short,right,long,True,1950.0,incorrect,S,751.0,282634.0,305590.0,282634.0
13,right,long,left,short,True,1380.0,incorrect,S,703.0,305590.0,337746.0,305590.0
14,,,right,long,False,2400.0,broken,S,,337746.0,357612.0,337746.0
15,right,long,left,short,True,1380.0,incorrect,S,619.0,357612.0,381088.0,357612.0
16,,,right,long,False,1950.0,broken,S,,381088.0,402332.0,381088.0
17,left,short,left,short,True,1380.0,correct,S,710.0,402332.0,420813.0,402332.0
18,left,short,left,short,True,1260.0,correct,S,870.0,420813.0,438122.0,420813.0
19,left,short,left,short,True,1050.0,correct,S,812.0,438122.0,454543.0,438122.0
20,left,short,left,short,True,1050.0,correct,S,760.0,454543.0,474450.0,454543.0
21,left,short,left,short,True,1050.0,correct,S,750.0,474450.0,499638.0,474450.0
22,right,long,right,long,True,1950.0,correct,S,615.0,499638.0,510111.0,499638.0
23,left,short,left,short,True,1380.0,correct,S,832.0,510111.0,522522.0,510111.0
24,right,long,right,long,True,1740.0,correct,S,607.0,522522.0,536096.0,522522.0
25,left,short,left,short,True,600.0,correct,S,683.0,536096.0,547868.0,536096.0
26,left,short,left,short,True,1050.0,broken,S,889.0,547868.0,570880.0,547868.0
27,right,long,left,short,True,600.0,incorrect,S,1104.0,570880.0,594367.0,570880.0
28,,,left,short,False,1380.0,broken,S,,594367.0,614359.0,594367.0
29,right,long,right,long,True,1620.0,correct,S,1011.0,614359.0,625028.0,614359.0
30,right,long,right,long,True,1620.0,correct,S,774.0,625028.0,645347.0,625028.0
