,t,name,var,value
0,18457.0,TRIAL_AVAILABLE_EVENT,,
1,18458.0,,correct_side,right
2,18458.0,,this_interval,600.0
3,18458.0,,init_port,N
4,18458.0,,stim_long,False
5,20448.0,STIM_ONSET_EVENT,,
6,20448.0,TRIAL_ENTRY_EVENT,,
7,21049.0,CHOICE_STATE,,
8,21049.0,STIM_OFFSET_EVENT,,
9,22360.0,CHOICE_EVENT,,
10,22360.0,CHOICE_LEFT_EVENT,,
11,22360.0,CHOICE_LONG_EVENT,,
12,22360.0,CHOICE_INCORRECT_EVENT,,
13,39553.0,TRIAL_AVAILABLE_EVENT,,
14,39554.0,,this_interval,1260.0
15,39554.0,,correct_side,right
16,39554.0,,init_port,N
17,39554.0,,stim_long,False
18,41863.0,TRIAL_ENTRY_EVENT,,
19,41864.0,STIM_ONSET_EVENT,,
20,41920.0,BROKEN_FIXATION_EVENT,,
21,60968.0,TRIAL_AVAILABLE_EVENT,,
22,60969.0,,this_interval,600.0
23,60969.0,,stim_long,False
24,60969.0,,correct_side,right
25,60969.0,,init_port,N
26,63113.0,TRIAL_ENTRY_EVENT,,
27,63113.0,STIM_ONSET_EVENT,,
28,63714.0,STIM_OFFSET_EVENT,,
29,63714.0,CHOICE_STATE,,
30,64398.0,CHOICE_EVENT,,
31,64398.0,CHOICE_SHORT_EVENT,,
32,64398.0,CHOICE_CORRECT_EVENT,,
33,64398.0,CHOICE_RIGHT_EVENT,,
34,65199.0,REWARD_EVENT,,
35,72218.0,TRIAL_AVAILABLE_EVENT,,
36,72219.0,,init_port,N
37,72219.0,,this_interval,1950.0
38,72219.0,,stim_long,True
39,72219.0,,correct_side,left
40,86381.0,TRIAL_ENTRY_EVENT,,
41,86382.0,STIM_ONSET_EVENT,,
42,88333.0,CHOICE_STATE,,
43,88333.0,STIM_OFFSET_EVENT,,
44,89072.0,CHOICE_LONG_EVENT,,
45,89072.0,CHOICE_LEFT_EVENT,,
46,89072.0,CHOICE_EVENT,,
47,89072.0,CHOICE_CORRECT_EVENT,,
48,89873.0,REWARD_EVENT,,
49,95486.0,TRIAL_AVAILABLE_EVENT,,
50,95487.0,,stim_long,True
51,95487.0,,correct_side,left
52,95487.0,,init_port,N
53,95487.0,,this_interval,1950.0
54,99525.0,TRIAL_ENTRY_EVENT,,
55,99526.0,STIM_ONSET_EVENT,,
56,101476.0,STIM_OFFSET_EVENT,,
57,101476.0,CHOICE_STATE,,
58,102345.0,CHOICE_EVENT,,
59,102345.0,CHOICE_LEFT_EVENT,,
60,102345.0,CHOICE_LONG_EVENT,,
61,102345.0,CHOICE_CORRECT_EVENT,,
62,103147.0,REWARD_EVENT,,
63,108631.0,TRIAL_AVAILABLE_EVENT,,
64,108632.0,,init_port,N
65,108632.0,,this_interval,1740.0
66,108632.0,,correct_side,left
67,108632.0,,stim_long,True
68,115566.0,TRIAL_ENTRY_EVENT,,
69,115567.0,STIM_ONSET_EVENT,,
70,117308.0,CHOICE_STATE,,
71,117308.0,STIM_OFFSET_EVENT,,
72,118240.0,CHOICE_CORRECT_EVENT,,
73,118240.0,CHOICE_LEFT_EVENT,,
74,118240.0,CHOICE_LONG_EVENT,,
75,118240.0,CHOICE_EVENT,,
76,119043.0,REWARD_EVENT,,
77,124674.0,TRIAL_AVAILABLE_EVENT,,
78,124675.0,,init_port,N
79,124675.0,,this_interval,2400.0
80,124675.0,,correct_side,left
81,124675.0,,stim_long,True
82,133730.0,STIM_ONSET_EVENT,,
83,133730.0,TRIAL_ENTRY_EVENT,,
84,136132.0,STIM_OFFSET_EVENT,,
85,136132.0,CHOICE_STATE,,
86,137035.0,CHOICE_CORRECT_EVENT,,
87,137035.0,CHOICE_EVENT,,
88,137035.0,CHOICE_LEFT_EVENT,,
89,137035.0,CHOICE_LONG_EVENT,,
90,137263.0,BROKEN_FIXATION_EVENT,,
91,152836.0,TRIAL_AVAILABLE_EVENT,,
92,152837.0,,correct_side,right
93,152837.0,,this_interval,600.0
94,152837.0,,stim_long,False
95,152837.0,,init_port,N
96,154266.0,TRIAL_ENTRY_EVENT,,
97,154267.0,STIM_ONSET_EVENT,,
98,154868.0,CHOICE_STATE,,
99,154868.0,STIM_OFFSET_EVENT,,
100,155575.0,CHOICE_CORRECT_EVENT,,
101,155575.0,CHOICE_SHORT_EVENT,,
102,155575.0,CHOICE_RIGHT_EVENT,,
103,155575.0,CHOICE_EVENT,,
104,156377.0,REWARD_EVENT,,
105,163372.0,TRIAL_AVAILABLE_EVENT,,
106,163373.0,,correct_side,left
107,163373.0,,stim_long,True
108,163373.0,,this_interval,1950.0
109,163373.0,,init_port,N
110,167613.0,TRIAL_ENTRY_EVENT,,
111,167613.0,STIM_ONSET_EVENT,,
112,169564.0,STIM_OFFSET_EVENT,,
113,169564.0,CHOICE_STATE,,
114,170207.0,CHOICE_EVENT,,
115,170207.0,CHOICE_LONG_EVENT,,
116,170207.0,CHOICE_CORRECT_EVENT,,
117,170207.0,CHOICE_LEFT_EVENT,,
118,170281.0,BROKEN_FIXATION_EVENT,,
119,186720.0,TRIAL_AVAILABLE_EVENT,,
120,186721.0,,this_interval,2400.0
121,186721.0,,correct_side,left
122,186721.0,,stim_long,True
