,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,left,long,right,short,True,600.0,incorrect,N,1311.0,18457.0,39553.0,18457.0
1,,,right,short,False,1260.0,broken,N,,39553.0,60968.0,39553.0
2,right,short,right,short,True,600.0,correct,N,684.0,60968.0,72218.0,60968.0
3,left,long,left,long,True,1950.0,correct,N,739.0,72218.0,95486.0,72218.0
4,left,long,left,long,True,1950.0,correct,N,869.0,95486.0,108631.0,95486.0
5,left,long,left,long,True,1740.0,correct,N,932.0,108631.0,124674.0,108631.0
6,left,long,left,long,True,2400.0,broken,N,903.0,124674.0,152836.0,124674.0
7,right,short,right,short,True,600.0,correct,N,707.0,152836.0,163372.0,152836.0
8,left,long,left,long,True,1950.0,broken,N,643.0,163372.0,186720.0,163372.0
9,left,long,left,long,True,2400.0,correct,N,827.0,186720.0,196159.0,186720.0
10,left,long,left,long,True,1950.0,correct,N,960.0,196159.0,215081.0,196159.0
11,,,left,long,False,1950.0,broken,N,,215081.0,241419.0,215081.0
12,right,short,right,short,True,1380.0,correct,N,606.0,241419.0,252361.0,241419.0
13,left,long,right,short,True,1380.0,incorrect,N,825.0,252361.0,279225.0,252361.0
14,,,left,long,False,1620.0,broken,N,,279225.0,298629.0,279225.0
15,right,short,left,long,True,1740.0,incorrect,N,598.0,298629.0,319278.0,298629.0
16,right,short,left,long,True,1740.0,incorrect,N,632.0,319278.0,339178.0,319278.0
17,,,right,short,False,1050.0,broken,N,,339178.0,359527.0,339178.0
18,,,left,long,False,1950.0,broken,N,,359527.0,382951.0,359527.0
19,left,long,right,short,True,1380.0,incorrect,N,699.0,382951.0,403354.0,382951.0
20,,,right,short,False,1260.0,broken,N,,403354.0,423178.0,403354.0
21,left,long,right,short,True,1380.0,incorrect,N,702.0,423178.0,447745.0,423178.0
22,left,long,left,long,True,2400.0,correct,N,695.0,447745.0,458333.0,447745.0
23,right,short,right,short,True,1380.0,correct,N,732.0,458333.0,473193.0,458333.0
24,right,short,left,long,True,1620.0,incorrect,N,648.0,473193.0,503541.0,473193.0
25,right,short,right,short,True,600.0,correct,N,860.0,503541.0,513571.0,503541.0
26,right,short,left,long,True,1620.0,incorrect,N,651.0,513571.0,546264.0,513571.0
27,right,short,left,long,True,1740.0,incorrect,N,789.0,546264.0,566230.0,546264.0
28,right,short,right,short,True,1380.0,correct,N,696.0,566230.0,580168.0,566230.0
29,right,short,left,long,True,1620.0,incorrect,N,698.0,580168.0,610061.0,580168.0
30,right,short,right,short,True,1260.0,correct,N,604.0,610061.0,620284.0,610061.0
31,left,long,right,short,True,600.0,incorrect,N,1194.0,620284.0,645572.0,620284.0
32,,,left,long,False,1620.0,broken,N,,645572.0,664902.0,645572.0
33,,,left,long,False,1620.0,broken,N,,664902.0,685068.0,664902.0
34,left,long,left,long,True,2400.0,correct,N,765.0,685068.0,696443.0,685068.0
35,left,long,right,short,True,1380.0,incorrect,N,775.0,696443.0,718764.0,696443.0
36,right,short,right,short,True,1380.0,correct,N,651.0,718764.0,728122.0,718764.0
37,right,short,right,short,True,600.0,correct,N,1098.0,728122.0,753191.0,728122.0
38,right,short,right,short,True,1380.0,correct,N,675.0,753191.0,765149.0,753191.0
39,right,short,right,short,True,1380.0,correct,N,742.0,765149.0,786319.0,765149.0
40,right,short,right,short,True,1260.0,broken,N,750.0,786319.0,800905.0,786319.0
41,right,short,left,long,True,1620.0,incorrect,N,670.0,800905.0,820692.0,800905.0
42,,,left,long,False,1950.0,broken,N,,820692.0,840361.0,820692.0
43,right,short,right,short,True,600.0,correct,N,1267.0,840361.0,849707.0,840361.0
44,right,short,right,short,True,1260.0,broken,N,839.0,849707.0,865670.0,849707.0
45,left,long,left,long,True,2400.0,broken,N,806.0,865670.0,875136.0,865670.0
46,,,left,long,False,1740.0,broken,N,,875136.0,895974.0,875136.0
47,right,short,right,short,True,1260.0,correct,N,660.0,895974.0,906295.0,895974.0
48,right,short,right,short,True,1380.0,correct,N,660.0,906295.0,928791.0,906295.0
49,,,right,short,False,1260.0,broken,N,,928791.0,948508.0,928791.0
50,left,long,left,long,True,1620.0,correct,N,824.0,948508.0,958014.0,948508.0
51,right,short,right,short,True,1380.0,broken,N,688.0,958014.0,980302.0,958014.0
52,left,long,left,long,True,1620.0,broken,N,641.0,980302.0,990273.0,980302.0
53,,,right,short,False,1260.0,broken,N,,990273.0,1010239.0,990273.0
54,,,left,long,False,2400.0,broken,N,,1010239.0,1034289.0,1010239.0
55,left,long,left,long,True,2400.0,correct,N,758.0,1034289.0,1054669.0,1034289.0
56,right,short,right,short,True,1260.0,correct,N,667.0,1054669.0,1068601.0,1054669.0
57,,,left,long,False,1740.0,broken,N,,1068601.0,1091121.0,1068601.0
58,right,short,right,short,True,600.0,correct,N,1109.0,1091121.0,1119798.0,1091121.0
59,left,long,left,long,True,2400.0,broken,N,741.0,1119798.0,1136366.0,1119798.0
60,right,short,right,short,True,1380.0,broken,N,599.0,1136366.0,1156983.0,1136366.0
61,,,right,short,False,600.0,broken,N,,1156983.0,1179601.0,1156983.0
62,right,short,right,short,True,1380.0,correct,N,1636.0,1179601.0,1197546.0,1179601.0
63,right,short,right,short,True,1260.0,correct,N,688.0,1197546.0,1220897.0,1197546.0
64,left,long,left,long,True,1950.0,broken,N,875.0,1220897.0,1235539.0,1220897.0
65,right,short,left,long,True,1740.0,incorrect,N,952.0,1235539.0,1254885.0,1235539.0
66,right,short,left,long,True,1740.0,incorrect,N,850.0,1254885.0,1276810.0,1254885.0
67,,,left,long,False,1740.0,broken,N,,1276810.0,1296626.0,1276810.0
68,,,right,short,False,1380.0,broken,N,,1296626.0,1316987.0,1296626.0
69,,,right,short,False,1380.0,broken,N,,1316987.0,1337311.0,1316987.0
70,left,long,left,long,True,2400.0,correct,N,802.0,1337311.0,1346779.0,1337311.0
71,,,left,long,False,1950.0,broken,N,,1346779.0,1374317.0,1346779.0
72,right,short,right,short,True,1260.0,broken,N,644.0,1374317.0,1384285.0,1374317.0
73,right,short,right,short,True,1050.0,correct,N,951.0,1384285.0,1393751.0,1384285.0
74,right,short,right,short,True,600.0,correct,N,850.0,1393751.0,1417667.0,1393751.0
75,left,long,left,long,True,1950.0,broken,N,983.0,1417667.0,1435421.0,1417667.0
76,right,short,left,long,True,1620.0,incorrect,N,598.0,1435421.0,1454637.0,1435421.0
77,right,long,left,short,True,1380.0,incorrect,S,526.0,1454637.0,1476375.0,1454637.0
78,left,short,left,short,True,1050.0,broken,S,742.0,1476375.0,1486635.0,1476375.0
79,left,short,left,short,True,1380.0,correct,S,849.0,1486635.0,1496943.0,1486635.0
80,right,long,right,long,True,1620.0,correct,S,658.0,1496943.0,1518864.0,1496943.0
81,left,short,left,short,True,1260.0,correct,S,988.0,1518864.0,1529589.0,1518864.0
82,right,long,left,short,True,1380.0,incorrect,S,796.0,1529589.0,1557514.0,1529589.0
83,right,long,right,long,True,1740.0,broken,S,645.0,1557514.0,1569095.0,1557514.0
84,left,short,left,short,True,1050.0,correct,S,768.0,1569095.0,1579260.0,1569095.0
85,left,short,left,short,True,1260.0,correct,S,954.0,1579260.0,1599015.0,1579260.0
86,right,long,left,short,True,1380.0,incorrect,S,649.0,1599015.0,1624893.0,1599015.0
87,left,short,left,short,True,1380.0,broken,S,827.0,1624893.0,1652726.0,1624893.0
88,,,left,short,False,1380.0,broken,S,,1652726.0,1672638.0,1652726.0
89,left,short,left,short,True,600.0,correct,S,821.0,1672638.0,1684096.0,1672638.0
90,left,short,left,short,True,1050.0,broken,S,1798.0,1684096.0,1705381.0,1684096.0
91,,,right,long,False,2400.0,broken,S,,1705381.0,1724489.0,1705381.0
92,left,short,right,long,True,1740.0,incorrect,S,783.0,1724489.0,1745014.0,1724489.0
93,right,long,left,short,True,600.0,incorrect,S,2081.0,1745014.0,1765277.0,1745014.0
94,,,left,short,False,600.0,broken,S,,1765277.0,1784718.0,1765277.0
95,,,right,long,False,1740.0,broken,S,,1784718.0,1806884.0,1784718.0
96,right,long,right,long,True,2400.0,correct,S,549.0,1806884.0,1816809.0,1806884.0
97,right,long,left,short,True,600.0,incorrect,S,2262.0,1816809.0,1852047.0,1816809.0
98,left,short,left,short,True,600.0,broken,S,819.0,1852047.0,1872450.0,1852047.0
