,t,name,var,value
0,66333.0,TRIAL_AVAILABLE_EVENT,,
1,66334.0,,correct_side,left
2,66334.0,,stim_long,False
3,66334.0,,init_port,S
4,66334.0,,this_interval,600.0
5,72936.0,TRIAL_ENTRY_EVENT,,
6,72937.0,STIM_ONSET_EVENT,,
7,73538.0,CHOICE_STATE,,
8,73538.0,STIM_OFFSET_EVENT,,
9,74467.0,CHOICE_EVENT,,
10,74467.0,CHOICE_INCORRECT_EVENT,,
11,74467.0,CHOICE_RIGHT_EVENT,,
12,74467.0,CHOICE_LONG_EVENT,,
13,74598.0,BROKEN_FIXATION_EVENT,,
14,92042.0,TRIAL_AVAILABLE_EVENT,,
15,92043.0,,correct_side,right
16,92043.0,,stim_long,True
17,92043.0,,init_port,S
18,92043.0,,this_interval,2400.0
19,101984.0,TRIAL_ENTRY_EVENT,,
20,101985.0,STIM_ONSET_EVENT,,
21,104386.0,CHOICE_STATE,,
22,104386.0,STIM_OFFSET_EVENT,,
23,105335.0,CHOICE_LONG_EVENT,,
24,105335.0,CHOICE_EVENT,,
25,105335.0,CHOICE_CORRECT_EVENT,,
26,105335.0,CHOICE_RIGHT_EVENT,,
27,106137.0,REWARD_EVENT,,
28,111089.0,TRIAL_AVAILABLE_EVENT,,
29,111090.0,,this_interval,1260.0
30,111090.0,,init_port,S
31,111090.0,,stim_long,False
32,111090.0,,correct_side,left
33,130789.0,TRIAL_ENTRY_EVENT,,
34,130790.0,STIM_ONSET_EVENT,,
35,132051.0,STIM_OFFSET_EVENT,,
36,132051.0,CHOICE_STATE,,
37,132962.0,CHOICE_LEFT_EVENT,,
38,132962.0,CHOICE_CORRECT_EVENT,,
39,132962.0,CHOICE_EVENT,,
40,132962.0,CHOICE_SHORT_EVENT,,
41,133764.0,REWARD_EVENT,,
42,139893.0,TRIAL_AVAILABLE_EVENT,,
43,139894.0,,correct_side,left
44,139894.0,,stim_long,False
45,139894.0,,init_port,S
46,139894.0,,this_interval,600.0
47,141121.0,TRIAL_ENTRY_EVENT,,
48,141122.0,STIM_ONSET_EVENT,,
49,141724.0,CHOICE_STATE,,
50,141724.0,STIM_OFFSET_EVENT,,
51,142631.0,CHOICE_EVENT,,
52,142631.0,CHOICE_LONG_EVENT,,
53,142631.0,CHOICE_INCORRECT_EVENT,,
54,142631.0,CHOICE_RIGHT_EVENT,,
55,160227.0,TRIAL_AVAILABLE_EVENT,,
56,160228.0,,correct_side,right
57,160228.0,,this_interval,1620.0
58,160228.0,,stim_long,True
59,160228.0,,init_port,S
60,163363.0,TRIAL_ENTRY_EVENT,,
61,163364.0,STIM_ONSET_EVENT,,
62,164985.0,STIM_OFFSET_EVENT,,
63,164985.0,CHOICE_STATE,,
64,165835.0,CHOICE_EVENT,,
65,165835.0,CHOICE_LONG_EVENT,,
66,165835.0,CHOICE_CORRECT_EVENT,,
67,165835.0,CHOICE_RIGHT_EVENT,,
68,166635.0,REWARD_EVENT,,
69,172470.0,TRIAL_AVAILABLE_EVENT,,
70,172471.0,,correct_side,left
71,172471.0,,this_interval,1050.0
72,172471.0,,init_port,S
73,172471.0,,stim_long,False
74,187885.0,TRIAL_ENTRY_EVENT,,
75,187886.0,STIM_ONSET_EVENT,,
76,188937.0,STIM_OFFSET_EVENT,,
77,188937.0,CHOICE_STATE,,
78,189899.0,CHOICE_SHORT_EVENT,,
79,189899.0,CHOICE_EVENT,,
80,189899.0,CHOICE_CORRECT_EVENT,,
81,189899.0,CHOICE_LEFT_EVENT,,
82,190701.0,REWARD_EVENT,,
83,196992.0,TRIAL_AVAILABLE_EVENT,,
84,196993.0,,this_interval,1620.0
85,196993.0,,init_port,S
86,196993.0,,stim_long,True
87,196993.0,,correct_side,right
88,209873.0,TRIAL_ENTRY_EVENT,,
89,209874.0,STIM_ONSET_EVENT,,
90,211496.0,CHOICE_STATE,,
91,211496.0,STIM_OFFSET_EVENT,,
92,212360.0,CHOICE_RIGHT_EVENT,,
93,212360.0,CHOICE_LONG_EVENT,,
94,212360.0,CHOICE_EVENT,,
95,212360.0,CHOICE_CORRECT_EVENT,,
96,213161.0,REWARD_EVENT,,
97,218978.0,TRIAL_AVAILABLE_EVENT,,
98,218979.0,,this_interval,600.0
99,218979.0,,init_port,S
100,218979.0,,stim_long,False
101,218979.0,,correct_side,left
102,222783.0,TRIAL_ENTRY_EVENT,,
103,222784.0,STIM_ONSET_EVENT,,
104,223385.0,CHOICE_STATE,,
105,223385.0,STIM_OFFSET_EVENT,,
106,224153.0,CHOICE_LEFT_EVENT,,
107,224153.0,CHOICE_SHORT_EVENT,,
108,224153.0,CHOICE_CORRECT_EVENT,,
109,224153.0,CHOICE_EVENT,,
110,224955.0,REWARD_EVENT,,
111,231888.0,TRIAL_AVAILABLE_EVENT,,
112,231889.0,,init_port,S
113,231889.0,,this_interval,1740.0
114,231889.0,,correct_side,right
115,231889.0,,stim_long,True
116,248570.0,TRIAL_ENTRY_EVENT,,
117,248571.0,STIM_ONSET_EVENT,,
118,250312.0,CHOICE_STATE,,
119,250312.0,STIM_OFFSET_EVENT,,
120,250962.0,CHOICE_LONG_EVENT,,
121,250962.0,CHOICE_RIGHT_EVENT,,
122,250962.0,CHOICE_CORRECT_EVENT,,
123,250962.0,CHOICE_EVENT,,
124,251764.0,REWARD_EVENT,,
125,257677.0,TRIAL_AVAILABLE_EVENT,,
126,257678.0,,init_port,S
127,257678.0,,correct_side,right
128,257678.0,,this_interval,1740.0
129,257678.0,,stim_long,True
130,266677.0,TRIAL_ENTRY_EVENT,,
131,266678.0,STIM_ONSET_EVENT,,
132,268419.0,CHOICE_STATE,,
133,268419.0,STIM_OFFSET_EVENT,,
134,269143.0,CHOICE_EVENT,,
135,269143.0,CHOICE_LEFT_EVENT,,
136,269143.0,CHOICE_SHORT_EVENT,,
137,269143.0,CHOICE_INCORRECT_EVENT,,
138,285784.0,TRIAL_AVAILABLE_EVENT,,
139,285785.0,,stim_long,True
140,285785.0,,correct_side,right
141,285785.0,,init_port,S
142,285785.0,,this_interval,2400.0
143,287265.0,TRIAL_ENTRY_EVENT,,
144,287266.0,STIM_ONSET_EVENT,,
145,289667.0,CHOICE_STATE,,
146,289667.0,STIM_OFFSET_EVENT,,
147,290553.0,CHOICE_RIGHT_EVENT,,
148,290553.0,CHOICE_LONG_EVENT,,
149,290553.0,CHOICE_CORRECT_EVENT,,
150,290553.0,CHOICE_EVENT,,
151,291355.0,REWARD_EVENT,,
152,296371.0,TRIAL_AVAILABLE_EVENT,,
153,296372.0,,this_interval,1620.0
154,296372.0,,stim_long,True
155,296372.0,,correct_side,right
156,296372.0,,init_port,S
157,318741.0,STIM_ONSET_EVENT,,
158,318741.0,TRIAL_ENTRY_EVENT,,
159,320363.0,STIM_OFFSET_EVENT,,
160,320363.0,CHOICE_STATE,,
161,321901.0,CHOICE_CORRECT_EVENT,,
162,321901.0,CHOICE_LONG_EVENT,,
163,321901.0,CHOICE_EVENT,,
164,321901.0,CHOICE_RIGHT_EVENT,,
165,322702.0,REWARD_EVENT,,
166,327845.0,TRIAL_AVAILABLE_EVENT,,
167,327846.0,,this_interval,1260.0
168,327846.0,,correct_side,left
169,327846.0,,init_port,S
170,327846.0,,stim_long,False
171,345739.0,STIM_ONSET_EVENT,,
172,345739.0,TRIAL_ENTRY_EVENT,,
173,347001.0,STIM_OFFSET_EVENT,,
174,347001.0,CHOICE_STATE,,
175,347714.0,CHOICE_SHORT_EVENT,,
176,347714.0,CHOICE_CORRECT_EVENT,,
177,347714.0,CHOICE_LEFT_EVENT,,
178,347714.0,CHOICE_EVENT,,
179,348516.0,REWARD_EVENT,,
180,354843.0,TRIAL_AVAILABLE_EVENT,,
181,354844.0,,stim_long,True
182,354844.0,,init_port,S
183,354844.0,,correct_side,right
184,354844.0,,this_interval,2400.0
185,376337.0,TRIAL_ENTRY_EVENT,,
186,376337.0,STIM_ONSET_EVENT,,
187,378739.0,STIM_OFFSET_EVENT,,
188,378739.0,CHOICE_STATE,,
189,379705.0,CHOICE_RIGHT_EVENT,,
190,379705.0,CHOICE_CORRECT_EVENT,,
