,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,long,left,short,True,600.0,incorrect,S,929.0,66333.0,92042.0,66333.0
1,right,long,right,long,True,2400.0,correct,S,949.0,92042.0,111089.0,92042.0
2,left,short,left,short,True,1260.0,correct,S,911.0,111089.0,139893.0,111089.0
3,right,long,left,short,True,600.0,incorrect,S,907.0,139893.0,160227.0,139893.0
4,right,long,right,long,True,1620.0,correct,S,850.0,160227.0,172470.0,160227.0
5,left,short,left,short,True,1050.0,correct,S,962.0,172470.0,196992.0,172470.0
6,right,long,right,long,True,1620.0,correct,S,864.0,196992.0,218978.0,196992.0
7,left,short,left,short,True,600.0,correct,S,768.0,218978.0,231888.0,218978.0
8,right,long,right,long,True,1740.0,correct,S,650.0,231888.0,257677.0,231888.0
9,left,short,right,long,True,1740.0,incorrect,S,724.0,257677.0,285784.0,257677.0
10,right,long,right,long,True,2400.0,correct,S,886.0,285784.0,296371.0,285784.0
11,right,long,right,long,True,1620.0,correct,S,1538.0,296371.0,327845.0,296371.0
12,left,short,left,short,True,1260.0,correct,S,713.0,327845.0,354843.0,327845.0
13,right,long,right,long,True,2400.0,correct,S,966.0,354843.0,385442.0,354843.0
14,,,left,short,False,1260.0,,S,,385442.0,421347.0,385442.0
15,right,long,left,short,True,1380.0,incorrect,S,748.0,421347.0,442321.0,421347.0
16,right,long,right,long,True,1740.0,correct,S,757.0,442321.0,454000.0,442321.0
17,left,short,left,short,True,600.0,correct,S,759.0,454000.0,479969.0,454000.0
18,left,short,left,short,True,600.0,correct,S,1918.0,479969.0,504763.0,479969.0
19,left,short,left,short,True,1380.0,correct,S,1025.0,504763.0,524222.0,504763.0
20,right,long,right,long,True,1740.0,correct,S,990.0,524222.0,551461.0,524222.0
21,,,left,short,False,1260.0,,S,,551461.0,572569.0,551461.0
22,right,long,left,short,True,1260.0,incorrect,S,978.0,572569.0,633059.0,572569.0
23,left,short,right,long,True,1620.0,incorrect,S,949.0,633059.0,656944.0,633059.0
24,right,long,left,short,True,1380.0,incorrect,S,1119.0,656944.0,678422.0,656944.0
