,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,right,long,right,long,True,1740.0,broken,S,1053.0,7965.0,46395.0,7965.0
1,right,long,left,short,True,1380.0,broken,S,753.0,46395.0,68217.0,46395.0
2,left,short,right,long,True,1950.0,incorrect,S,1041.0,68217.0,90925.0,68217.0
3,left,short,left,short,True,1380.0,broken,S,712.0,90925.0,111299.0,90925.0
4,right,long,right,long,True,1620.0,correct,S,1123.0,111299.0,121395.0,111299.0
5,left,short,right,long,True,2400.0,incorrect,S,733.0,121395.0,154053.0,121395.0
6,right,long,left,short,True,1050.0,broken,S,2751.0,154053.0,175629.0,154053.0
7,right,long,right,long,True,1620.0,correct,S,1229.0,175629.0,186014.0,175629.0
8,left,short,left,short,True,1380.0,correct,S,612.0,186014.0,206025.0,186014.0
9,left,short,left,short,True,1380.0,broken,S,811.0,206025.0,217220.0,206025.0
10,left,short,right,long,True,1620.0,incorrect,S,838.0,217220.0,237960.0,217220.0
11,left,short,right,long,True,1620.0,incorrect,S,915.0,237960.0,258378.0,237960.0
12,left,short,right,long,True,1740.0,incorrect,S,756.0,258378.0,278037.0,258378.0
13,left,short,right,long,True,1620.0,incorrect,S,902.0,278037.0,297821.0,278037.0
14,right,long,right,long,True,2400.0,correct,S,748.0,297821.0,307592.0,297821.0
15,left,short,right,long,True,1950.0,incorrect,S,746.0,307592.0,339060.0,307592.0
16,left,short,left,short,True,1260.0,correct,S,1091.0,339060.0,348524.0,339060.0
17,right,long,right,long,True,1950.0,correct,S,609.0,348524.0,365007.0,348524.0
18,right,long,right,long,True,1620.0,correct,S,889.0,365007.0,376923.0,365007.0
19,left,short,left,short,True,1380.0,correct,S,850.0,376923.0,392637.0,376923.0
20,right,long,right,long,True,1950.0,correct,S,618.0,392637.0,406258.0,392637.0
21,right,long,right,long,True,1620.0,correct,S,804.0,406258.0,426247.0,406258.0
22,left,short,left,short,True,600.0,broken,S,688.0,426247.0,437816.0,426247.0
23,,,left,short,False,1380.0,broken,S,,437816.0,457601.0,437816.0
24,left,short,left,short,True,600.0,broken,S,838.0,457601.0,467865.0,457601.0
25,,,left,short,False,600.0,broken,S,,467865.0,488065.0,467865.0
26,left,short,left,short,True,1380.0,correct,S,767.0,488065.0,498464.0,488065.0
27,left,short,left,short,True,600.0,correct,S,1084.0,498464.0,510433.0,498464.0
28,right,long,left,short,True,1260.0,incorrect,S,828.0,510433.0,529831.0,510433.0
29,right,long,right,long,True,1950.0,correct,S,855.0,529831.0,540272.0,529831.0
30,left,short,left,short,True,1380.0,broken,S,759.0,540272.0,552377.0,540272.0
31,right,long,right,long,True,2400.0,correct,S,716.0,552377.0,576641.0,552377.0
32,left,short,left,short,True,1260.0,correct,S,771.0,576641.0,586620.0,576641.0
33,right,long,left,short,True,1380.0,incorrect,S,687.0,586620.0,613695.0,586620.0
34,left,short,left,short,True,1380.0,correct,S,890.0,613695.0,627689.0,613695.0
35,right,long,right,long,True,2400.0,correct,S,647.0,627689.0,648419.0,627689.0
36,left,short,left,short,True,1050.0,broken,S,714.0,648419.0,664645.0,648419.0
37,left,short,right,long,True,1740.0,incorrect,S,877.0,664645.0,684591.0,664645.0
38,left,short,left,short,True,1380.0,correct,S,849.0,684591.0,695399.0,684591.0
39,right,long,right,long,True,1740.0,correct,S,659.0,695399.0,712734.0,695399.0
40,left,short,left,short,True,600.0,correct,S,854.0,712734.0,724751.0,712734.0
41,left,short,left,short,True,600.0,correct,S,859.0,724751.0,737672.0,724751.0
42,right,long,right,long,True,1620.0,correct,S,618.0,737672.0,748082.0,737672.0
43,right,short,right,short,True,1380.0,correct,N,542.0,748082.0,758767.0,748082.0
44,,,left,long,False,1620.0,broken,N,,758767.0,785943.0,758767.0
