,chosen_side,chosen_interval,correct_side,interval_category,has_choice,this_interval,outcome,init_port,choice_rt,t_on,t_off,t
0,left,short,right,long,True,1740.0,incorrect,S,835.0,5038.0,32481.0,5038.0
1,left,short,right,long,True,1620.0,incorrect,S,692.0,32481.0,54578.0,32481.0
2,,,right,long,False,2400.0,,S,,54578.0,76548.0,54578.0
3,,,left,short,False,600.0,,S,,76548.0,101311.0,76548.0
4,,,right,long,False,1620.0,,S,,101311.0,125571.0,101311.0
5,left,short,right,long,True,1740.0,incorrect,S,993.0,125571.0,180568.0,125571.0
6,left,short,left,short,True,1050.0,correct,S,826.0,180568.0,204608.0,180568.0
7,left,short,right,long,True,1620.0,incorrect,S,1149.0,204608.0,278192.0,204608.0
8,,,left,short,False,1380.0,,S,,278192.0,328678.0,278192.0
9,left,short,left,short,True,1050.0,correct,S,1102.0,328678.0,399925.0,328678.0
10,left,short,left,short,True,1380.0,correct,S,1162.0,399925.0,484724.0,399925.0
11,right,long,right,long,True,1620.0,correct,S,796.0,484724.0,505542.0,484724.0
12,left,short,left,short,True,600.0,correct,S,877.0,505542.0,517311.0,505542.0
13,left,short,left,short,True,1050.0,correct,S,994.0,517311.0,531991.0,517311.0
14,,,left,short,False,1260.0,,S,,531991.0,555037.0,531991.0
15,right,long,right,long,True,1740.0,correct,S,686.0,555037.0,568141.0,555037.0
16,left,short,left,short,True,1260.0,correct,S,842.0,568141.0,579559.0,568141.0
17,left,short,left,short,True,1380.0,correct,S,866.0,579559.0,593174.0,579559.0
18,right,long,left,short,True,1260.0,incorrect,S,1456.0,593174.0,619713.0,593174.0
19,,,right,long,False,2400.0,,S,,619713.0,640919.0,619713.0
20,,,left,short,False,1260.0,,S,,640919.0,661550.0,640919.0
21,left,short,right,long,True,1740.0,incorrect,S,1130.0,661550.0,684852.0,661550.0
22,left,short,right,long,True,1620.0,incorrect,S,1140.0,684852.0,707177.0,684852.0
23,left,short,right,long,True,1950.0,incorrect,S,831.0,707177.0,732116.0,707177.0
24,right,long,right,long,True,1950.0,correct,S,761.0,732116.0,743064.0,732116.0
25,,,right,long,False,1620.0,,S,,743064.0,785944.0,743064.0
26,left,short,right,long,True,1620.0,incorrect,S,827.0,785944.0,806474.0,785944.0
27,left,short,right,long,True,1620.0,incorrect,S,847.0,806474.0,826638.0,806474.0
28,left,short,left,short,True,600.0,correct,S,968.0,826638.0,836567.0,826638.0
29,right,long,right,long,True,2400.0,correct,S,581.0,836567.0,850079.0,836567.0
30,left,short,right,long,True,1620.0,incorrect,S,1274.0,850079.0,869907.0,850079.0
31,left,short,left,short,True,1380.0,correct,S,923.0,869907.0,880456.0,869907.0
32,right,long,right,long,True,1740.0,correct,S,840.0,880456.0,897519.0,880456.0
33,right,long,right,long,True,1740.0,correct,S,878.0,897519.0,907400.0,897519.0
34,right,long,left,short,True,1260.0,incorrect,S,1046.0,907400.0,930173.0,907400.0
35,left,short,left,short,True,1260.0,correct,S,821.0,930173.0,939667.0,930173.0
36,left,short,left,short,True,600.0,correct,S,1642.0,939667.0,966027.0,939667.0
37,right,long,right,long,True,1620.0,correct,S,1651.0,966027.0,975758.0,966027.0
38,right,long,right,long,True,1740.0,correct,S,683.0,975758.0,988191.0,975758.0
39,right,long,right,long,True,1620.0,correct,S,803.0,988191.0,998013.0,988191.0
40,right,long,left,short,True,1050.0,incorrect,S,1094.0,998013.0,1022327.0,998013.0
41,right,long,right,long,True,1620.0,correct,S,603.0,1022327.0,1036057.0,1022327.0
42,right,long,left,short,True,1260.0,incorrect,S,743.0,1036057.0,1064910.0,1036057.0
43,left,short,right,long,True,1620.0,incorrect,S,719.0,1064910.0,1085152.0,1064910.0
44,left,short,right,long,True,1740.0,incorrect,S,801.0,1085152.0,1108999.0,1085152.0
45,left,short,left,short,True,1380.0,correct,S,1010.0,1108999.0,1120164.0,1108999.0
46,left,short,right,long,True,1620.0,incorrect,S,1403.0,1120164.0,1160580.0,1120164.0
47,,,right,long,False,1740.0,,S,,1160580.0,1180168.0,1160580.0
48,left,short,left,short,True,1050.0,correct,S,833.0,1180168.0,1190827.0,1180168.0
49,right,long,left,short,True,1380.0,incorrect,S,1503.0,1190827.0,1221369.0,1190827.0
50,,,left,long,False,1620.0,,N,,1221369.0,1258444.0,1221369.0
51,left,long,left,long,True,1950.0,correct,N,1075.0,1258444.0,1269411.0,1258444.0
52,left,long,left,long,True,1740.0,correct,N,795.0,1269411.0,1287830.0,1269411.0
53,left,long,left,long,True,1950.0,correct,N,760.0,1287830.0,1301875.0,1287830.0
54,left,long,right,short,True,1380.0,incorrect,N,1013.0,1301875.0,1332153.0,1301875.0
55,left,long,left,long,True,1740.0,correct,N,717.0,1332153.0,1346757.0,1332153.0
56,left,long,right,short,True,1260.0,incorrect,N,793.0,1346757.0,1375100.0,1346757.0
57,right,short,left,long,True,1740.0,incorrect,N,718.0,1375100.0,1395937.0,1375100.0
58,right,short,left,long,True,1740.0,incorrect,N,1315.0,1395937.0,1426536.0,1395937.0
59,,,left,long,False,1620.0,,N,,1426536.0,1449457.0,1426536.0
60,left,long,left,long,True,1620.0,correct,N,702.0,1449457.0,1462068.0,1449457.0
61,left,long,left,long,True,1620.0,correct,N,858.0,1462068.0,1481192.0,1462068.0
62,right,short,right,short,True,1380.0,correct,N,983.0,1481192.0,1493313.0,1481192.0
63,left,long,left,long,True,1950.0,correct,N,732.0,1493313.0,1503395.0,1493313.0
64,,,left,long,False,1620.0,,N,,1503395.0,1528116.0,1503395.0
65,right,short,right,short,True,1260.0,correct,N,751.0,1528116.0,1543581.0,1528116.0
66,right,short,right,short,True,600.0,correct,N,915.0,1543581.0,1568448.0,1543581.0
67,left,long,left,long,True,1950.0,correct,N,726.0,1568448.0,1579353.0,1568448.0
68,right,short,left,long,True,1950.0,incorrect,N,770.0,1579353.0,1599712.0,1579353.0
69,left,long,left,long,True,2400.0,correct,N,685.0,1599712.0,1612268.0,1599712.0
70,right,short,left,long,True,1950.0,incorrect,N,812.0,1612268.0,1633411.0,1612268.0
