,t,name,var,value
0,5038.0,TRIAL_AVAILABLE_EVENT,,
1,5039.0,,correct_side,right
2,5039.0,,this_interval,1740.0
3,5039.0,,init_port,S
4,5039.0,,stim_long,True
5,13376.0,TRIAL_ENTRY_EVENT,,
6,13376.0,STIM_ONSET_EVENT,,
7,15118.0,STIM_OFFSET_EVENT,,
8,15118.0,CHOICE_STATE,,
9,15953.0,CHOICE_LEFT_EVENT,,
10,15953.0,CHOICE_INCORRECT_EVENT,,
11,15953.0,CHOICE_SHORT_EVENT,,
12,15953.0,CHOICE_EVENT,,
13,32481.0,TRIAL_AVAILABLE_EVENT,,
14,32482.0,,correct_side,right
15,32482.0,,init_port,S
16,32482.0,,stim_long,True
17,32482.0,,this_interval,1620.0
18,35473.0,STIM_ONSET_EVENT,,
19,35473.0,TRIAL_ENTRY_EVENT,,
20,37094.0,STIM_OFFSET_EVENT,,
21,37094.0,CHOICE_STATE,,
22,37786.0,CHOICE_SHORT_EVENT,,
23,37786.0,CHOICE_INCORRECT_EVENT,,
24,37786.0,CHOICE_LEFT_EVENT,,
25,37786.0,CHOICE_EVENT,,
26,37888.0,BROKEN_FIXATION_EVENT,,
27,54578.0,TRIAL_AVAILABLE_EVENT,,
28,54579.0,,stim_long,True
29,54579.0,,correct_side,right
30,54579.0,,init_port,S
31,54579.0,,this_interval,2400.0
32,57443.0,TRIAL_ENTRY_EVENT,,
33,57444.0,STIM_ONSET_EVENT,,
34,57544.0,BROKEN_FIXATION_EVENT,,
35,76548.0,TRIAL_AVAILABLE_EVENT,,
36,76549.0,,correct_side,left
37,76549.0,,stim_long,False
38,76549.0,,this_interval,600.0
39,76549.0,,init_port,S
40,82207.0,STIM_ONSET_EVENT,,
41,82207.0,TRIAL_ENTRY_EVENT,,
42,82322.0,BROKEN_FIXATION_EVENT,,
43,101311.0,TRIAL_AVAILABLE_EVENT,,
44,101312.0,,this_interval,1620.0
45,101312.0,,stim_long,True
46,101312.0,,init_port,S
47,101312.0,,correct_side,right
48,106464.0,TRIAL_ENTRY_EVENT,,
49,106465.0,STIM_ONSET_EVENT,,
50,107542.0,BROKEN_FIXATION_EVENT,,
51,125571.0,TRIAL_AVAILABLE_EVENT,,
52,125572.0,,this_interval,1740.0
53,125572.0,,stim_long,True
54,125572.0,,correct_side,right
55,125572.0,,init_port,S
56,161461.0,TRIAL_ENTRY_EVENT,,
57,161462.0,STIM_ONSET_EVENT,,
58,163204.0,CHOICE_STATE,,
59,163204.0,STIM_OFFSET_EVENT,,
60,164197.0,CHOICE_LEFT_EVENT,,
61,164197.0,CHOICE_INCORRECT_EVENT,,
62,164197.0,CHOICE_EVENT,,
63,164197.0,CHOICE_SHORT_EVENT,,
64,180568.0,TRIAL_AVAILABLE_EVENT,,
65,180569.0,,stim_long,False
66,180569.0,,this_interval,1050.0
67,180569.0,,correct_side,left
68,180569.0,,init_port,S
69,185503.0,TRIAL_ENTRY_EVENT,,
70,185504.0,STIM_ONSET_EVENT,,
71,186556.0,CHOICE_STATE,,
72,186556.0,STIM_OFFSET_EVENT,,
73,187382.0,CHOICE_EVENT,,
74,187382.0,CHOICE_LEFT_EVENT,,
75,187382.0,CHOICE_CORRECT_EVENT,,
76,187382.0,CHOICE_SHORT_EVENT,,
77,187484.0,BROKEN_FIXATION_EVENT,,
78,204608.0,TRIAL_AVAILABLE_EVENT,,
79,204609.0,,this_interval,1620.0
80,204609.0,,stim_long,True
81,204609.0,,init_port,S
82,204609.0,,correct_side,right
83,259086.0,STIM_ONSET_EVENT,,
84,259086.0,TRIAL_ENTRY_EVENT,,
85,260708.0,CHOICE_STATE,,
86,260708.0,STIM_OFFSET_EVENT,,
87,261857.0,CHOICE_SHORT_EVENT,,
88,261857.0,CHOICE_INCORRECT_EVENT,,
89,261857.0,CHOICE_EVENT,,
90,261857.0,CHOICE_LEFT_EVENT,,
91,278192.0,TRIAL_AVAILABLE_EVENT,,
92,278193.0,,stim_long,False
93,278193.0,,this_interval,1380.0
94,278193.0,,init_port,S
95,278193.0,,correct_side,left
96,309571.0,TRIAL_ENTRY_EVENT,,
97,309572.0,STIM_ONSET_EVENT,,
98,310273.0,BROKEN_FIXATION_EVENT,,
99,328678.0,TRIAL_AVAILABLE_EVENT,,
100,328679.0,,init_port,S
101,328679.0,,this_interval,1050.0
102,328679.0,,correct_side,left
103,328679.0,,stim_long,False
104,390819.0,TRIAL_ENTRY_EVENT,,
105,390820.0,STIM_ONSET_EVENT,,
106,391871.0,STIM_OFFSET_EVENT,,
107,391871.0,CHOICE_STATE,,
108,392973.0,CHOICE_SHORT_EVENT,,
109,392973.0,CHOICE_EVENT,,
110,392973.0,CHOICE_CORRECT_EVENT,,
111,392973.0,CHOICE_LEFT_EVENT,,
112,393775.0,REWARD_EVENT,,
113,399925.0,TRIAL_AVAILABLE_EVENT,,
114,399926.0,,stim_long,False
115,399926.0,,init_port,S
116,399926.0,,correct_side,left
117,399926.0,,this_interval,1380.0
118,475620.0,TRIAL_ENTRY_EVENT,,
119,475620.0,STIM_ONSET_EVENT,,
120,477002.0,CHOICE_STATE,,
121,477002.0,STIM_OFFSET_EVENT,,
122,478164.0,CHOICE_LEFT_EVENT,,
123,478164.0,CHOICE_CORRECT_EVENT,,
124,478164.0,CHOICE_EVENT,,
125,478164.0,CHOICE_SHORT_EVENT,,
126,478966.0,REWARD_EVENT,,
127,484724.0,TRIAL_AVAILABLE_EVENT,,
128,484725.0,,this_interval,1620.0
129,484725.0,,correct_side,right
130,484725.0,,stim_long,True
131,484725.0,,init_port,S
132,496438.0,TRIAL_ENTRY_EVENT,,
133,496439.0,STIM_ONSET_EVENT,,
134,498060.0,STIM_OFFSET_EVENT,,
135,498060.0,CHOICE_STATE,,
136,498856.0,CHOICE_CORRECT_EVENT,,
137,498856.0,CHOICE_LONG_EVENT,,
138,498856.0,CHOICE_EVENT,,
139,498856.0,CHOICE_RIGHT_EVENT,,
140,499658.0,REWARD_EVENT,,
141,505542.0,TRIAL_AVAILABLE_EVENT,,
142,505543.0,,stim_long,False
143,505543.0,,init_port,S
144,505543.0,,this_interval,600.0
145,505543.0,,correct_side,left
146,508207.0,TRIAL_ENTRY_EVENT,,
147,508207.0,STIM_ONSET_EVENT,,
148,508808.0,STIM_OFFSET_EVENT,,
149,508808.0,CHOICE_STATE,,
150,509685.0,CHOICE_CORRECT_EVENT,,
151,509685.0,CHOICE_LEFT_EVENT,,
152,509685.0,CHOICE_EVENT,,
153,509685.0,CHOICE_SHORT_EVENT,,
154,510487.0,REWARD_EVENT,,
155,517311.0,TRIAL_AVAILABLE_EVENT,,
156,517312.0,,stim_long,False
157,517312.0,,this_interval,1050.0
158,517312.0,,init_port,S
159,517312.0,,correct_side,left
160,522886.0,TRIAL_ENTRY_EVENT,,
161,522887.0,STIM_ONSET_EVENT,,
162,523938.0,STIM_OFFSET_EVENT,,
163,523938.0,CHOICE_STATE,,
164,524932.0,CHOICE_LEFT_EVENT,,
165,524932.0,CHOICE_CORRECT_EVENT,,
166,524932.0,CHOICE_EVENT,,
167,524932.0,CHOICE_SHORT_EVENT,,
168,525733.0,REWARD_EVENT,,
169,531991.0,TRIAL_AVAILABLE_EVENT,,
170,531992.0,,this_interval,1260.0
171,531992.0,,stim_long,False
172,531992.0,,correct_side,left
173,531992.0,,init_port,S
174,535933.0,TRIAL_ENTRY_EVENT,,
175,535934.0,STIM_ONSET_EVENT,,
176,536002.0,BROKEN_FIXATION_EVENT,,
177,555037.0,TRIAL_AVAILABLE_EVENT,,
178,555038.0,,this_interval,1740.0
179,555038.0,,correct_side,right
180,555038.0,,stim_long,True
181,555038.0,,init_port,S
182,559036.0,TRIAL_ENTRY_EVENT,,
183,559037.0,STIM_ONSET_EVENT,,
184,560779.0,CHOICE_STATE,,
185,560779.0,STIM_OFFSET_EVENT,,
186,561465.0,CHOICE_RIGHT_EVENT,,
187,561465.0,CHOICE_EVENT,,
188,561465.0,CHOICE_LONG_EVENT,,
189,561465.0,CHOICE_CORRECT_EVENT,,
190,562267.0,REWARD_EVENT,,
191,568141.0,TRIAL_AVAILABLE_EVENT,,
192,568142.0,,stim_long,False
193,568142.0,,this_interval,1260.0
194,568142.0,,correct_side,left
195,568142.0,,init_port,S
196,570454.0,TRIAL_ENTRY_EVENT,,
197,570454.0,STIM_ONSET_EVENT,,
198,571715.0,STIM_OFFSET_EVENT,,
199,571715.0,CHOICE_STATE,,
200,572557.0,CHOICE_SHORT_EVENT,,
201,572557.0,CHOICE_EVENT,,
202,572557.0,CHOICE_CORRECT_EVENT,,
203,572557.0,CHOICE_LEFT_EVENT,,
204,573358.0,REWARD_EVENT,,
205,579559.0,TRIAL_AVAILABLE_EVENT,,
206,579560.0,,init_port,S
207,579560.0,,correct_side,left
208,579560.0,,this_interval,1380.0
209,579560.0,,stim_long,False
210,584069.0,TRIAL_ENTRY_EVENT,,
211,584070.0,STIM_ONSET_EVENT,,
212,585451.0,STIM_OFFSET_EVENT,,
213,585451.0,CHOICE_STATE,,
214,586317.0,CHOICE_EVENT,,
215,586317.0,CHOICE_LEFT_EVENT,,
216,586317.0,CHOICE_CORRECT_EVENT,,
217,586317.0,CHOICE_SHORT_EVENT,,
218,587118.0,REWARD_EVENT,,
